frame,rea,rwa,rsa,rha,rka,lea,lwa,lsa,lha,lka
1,147.83,170.77,28.1,175.13,172.22,133.24,178.03,6.8,165.89,157.81
2,147.45,169.99,28.75,174.36,171.44,136.03,179.01,6.36,165.53,155.98
3,149.03,169.0,28.4,173.49,169.87,135.59,178.89,6.96,164.08,150.46
4,151.43,166.83,27.17,172.25,166.74,138.86,175.77,6.0,162.21,143.82
5,153.71,168.95,26.65,170.54,162.91,162.76,174.07,5.58,160.67,138.74
6,156.91,169.24,25.89,169.48,160.43,156.93,174.94,5.51,159.8,137.0
7,158.85,175.13,26.0,169.28,159.74,164.46,174.64,7.41,160.67,138.72
8,159.85,176.47,26.44,170.64,161.57,162.2,160.31,7.64,161.84,141.51
9,162.52,175.8,26.36,173.51,164.52,151.73,177.55,5.46,165.03,147.99
10,164.14,176.13,26.93,176.57,169.62,109.66,179.21,0.91,167.01,154.26
11,163.86,172.23,28.07,177.56,171.9,111.83,173.4,1.02,168.35,158.2
12,168.19,173.14,27.39,178.41,172.24,86.85,174.69,3.68,169.94,160.56
13,173.79,174.53,25.11,179.57,172.07,60.36,171.33,6.31,170.75,161.09
14,176.27,177.37,21.99,179.65,169.91,46.34,158.06,10.77,171.27,161.78
15,147.95,169.49,15.74,179.48,167.48,35.55,153.53,14.87,171.47,161.62
16,133.5,167.41,15.14,179.87,165.28,31.24,158.53,18.7,172.34,163.06
17,79.05,153.71,10.96,178.03,163.38,30.65,168.51,22.64,173.95,165.06
18,62.92,149.63,9.65,177.24,162.9,32.21,170.34,27.06,175.16,166.19
19,39.86,178.18,8.99,176.06,162.84,33.55,172.23,31.31,177.4,168.74
20,47.67,145.06,3.44,175.25,165.9,33.89,170.46,33.81,178.85,171.6
21,39.94,179.5,3.69,174.67,168.27,34.19,164.87,36.3,179.4,173.28
22,44.23,166.53,1.91,175.15,172.72,34.71,171.43,36.28,179.88,174.55
23,46.58,177.35,2.28,175.38,179.04,35.64,177.18,36.99,179.43,176.15
24,36.25,169.12,3.96,176.95,175.68,34.57,177.6,36.36,179.47,176.28
25,33.92,168.11,5.34,178.11,179.06,33.23,176.57,35.85,179.57,176.21
26,33.99,144.59,5.68,178.79,175.07,35.4,174.4,39.36,179.69,176.9
27,39.04,169.01,7.78,179.39,175.5,39.9,174.49,45.03,179.98,178.11
28,38.98,179.45,14.56,179.08,179.08,45.83,177.45,50.69,178.67,178.5
29,41.31,175.35,23.51,178.07,178.94,52.61,177.98,58.86,176.49,176.9
30,44.51,165.72,36.95,178.81,177.46,63.04,176.13,67.7,175.88,175.57
31,54.86,177.39,51.82,178.89,177.08,73.25,170.88,73.07,173.73,173.47
32,61.91,175.77,70.9,177.8,175.85,91.09,172.16,82.44,170.3,171.02
33,70.63,178.01,91.81,177.05,174.74,96.7,175.93,86.53,168.91,172.93
34,71.2,156.86,107.98,176.73,175.37,95.3,173.98,85.56,166.54,175.57
35,66.42,177.89,130.05,176.04,175.73,91.43,174.76,83.13,163.31,178.17
36,140.16,125.64,144.41,174.94,176.41,90.49,170.04,80.3,160.4,178.27
37,168.24,177.96,156.92,173.68,175.79,90.49,161.45,81.89,157.2,177.7
38,178.28,164.96,170.55,171.89,176.03,90.39,159.42,83.84,154.7,179.44
39,178.63,179.7,172.94,169.59,175.73,90.05,154.43,90.8,152.29,179.45
40,176.17,179.27,175.67,167.62,173.89,95.56,158.98,96.11,153.31,179.21
41,175.41,176.29,179.12,166.06,170.26,102.13,172.18,108.14,153.12,177.67
42,163.79,172.96,178.15,166.74,168.88,101.84,178.62,109.49,155.77,178.13
43,98.15,99.73,178.07,164.03,164.21,98.61,176.17,89.65,156.44,176.42
44,44.97,170.14,48.73,160.19,159.08,67.48,176.72,64.9,156.57,174.54
45,90.7,172.16,43.34,162.16,157.28,41.28,137.28,33.17,155.67,170.18
46,51.08,172.58,29.35,162.22,156.73,24.52,159.89,25.64,158.49,172.75
47,165.6,172.78,17.22,163.66,158.26,21.19,161.27,21.01,160.65,174.75
48,159.82,151.75,11.89,163.89,158.93,28.5,175.11,18.14,159.85,174.21
49,159.03,159.62,6.17,164.13,161.12,29.28,170.24,15.86,159.52,173.81
50,155.95,163.6,1.75,163.98,163.43,41.43,145.87,12.57,157.33,171.29
51,153.32,166.53,0.68,162.94,164.68,25.44,176.16,11.56,155.99,170.48
52,151.83,167.1,2.82,163.2,166.57,21.48,176.38,11.11,156.42,171.61
53,148.59,167.9,5.8,163.33,167.92,172.05,170.85,9.73,157.47,173.21
54,147.69,168.3,7.51,166.14,171.8,30.21,68.73,8.78,159.26,174.74
55,146.63,169.29,9.99,168.95,174.23,32.12,172.5,7.72,160.59,175.25
56,146.68,169.36,11.99,171.03,175.62,40.46,154.58,7.06,161.57,175.44
57,145.94,167.29,14.24,172.33,174.09,56.21,108.11,6.88,161.31,174.56
58,148.56,170.08,15.2,173.64,173.79,49.06,168.07,6.44,162.78,173.86
59,146.29,170.3,16.85,175.26,173.49,79.06,96.58,11.24,164.65,171.35
60,146.55,169.8,17.27,176.56,173.54,150.97,175.65,4.9,166.17,166.92
61,146.25,168.64,16.8,177.84,173.97,151.69,177.22,5.13,167.32,165.29
62,146.82,171.07,16.96,178.41,174.83,156.28,173.6,5.05,167.83,164.54
63,147.14,171.98,17.61,179.27,176.18,153.13,176.65,3.46,169.85,166.35
64,147.41,173.71,17.21,179.12,176.39,146.11,175.44,1.58,169.94,167.24
65,147.32,174.14,16.95,179.3,177.57,144.0,178.06,1.95,170.78,169.22
66,148.1,174.87,16.39,179.3,178.21,138.89,176.76,1.25,172.49,171.85
67,148.12,176.78,15.74,178.3,178.05,124.05,169.39,2.27,173.38,173.78
68,147.63,178.26,15.89,177.95,178.14,128.04,174.5,1.79,174.37,174.54
69,148.87,178.76,16.46,178.96,178.42,86.5,138.58,2.42,174.42,174.74
70,151.55,176.58,17.27,179.46,178.82,83.51,157.05,6.36,173.42,173.08
71,152.63,173.42,18.76,179.24,171.92,117.24,156.69,5.0,172.25,172.11
72,154.54,172.57,20.19,178.8,170.23,132.44,176.79,1.17,170.76,171.35
73,155.19,170.24,21.83,179.25,171.63,127.34,165.35,1.24,170.57,171.22
74,154.92,172.13,23.13,177.97,170.75,25.15,160.85,20.93,167.91,168.43
75,156.87,176.49,23.95,177.49,171.75,39.06,54.43,21.68,165.78,166.22
76,157.97,174.03,25.19,177.3,171.73,32.4,171.35,32.73,163.81,161.6
77,157.83,171.91,26.43,176.54,170.21,125.23,169.21,3.96,160.94,156.44
78,158.94,173.59,27.23,177.1,166.78,130.83,178.42,4.42,160.97,151.96
79,162.0,178.5,26.59,178.03,166.1,135.91,178.69,2.86,160.76,147.18
