frame,rea,rwa,rsa,rha,rka,lea,lwa,lsa,lha,lka,type
1,165.98,168.35,13.85,171.59,166.1,179.0,171.32,12.02,168.72,154.08,4
2,164.12,171.62,13.49,171.7,166.72,177.9,171.53,11.29,168.44,153.94
3,161.74,173.24,14.94,173.4,175.13,178.58,170.58,12.85,166.18,152.79
4,159.04,177.19,14.44,172.3,172.06,177.79,168.16,13.14,166.57,159.65
5,158.72,174.03,15.82,177.37,175.1,176.73,168.38,14.14,165.02,164.04
6,158.4,171.94,15.09,179.54,174.36,178.49,169.25,16.25,164.32,166.51
7,160.19,169.99,15.03,177.85,171.78,177.21,169.21,16.45,166.37,170.22
8,162.88,169.11,15.75,177.73,166.54,177.95,169.55,17.06,168.02,170.95
9,160.23,168.81,12.52,179.85,157.7,177.28,169.21,15.96,170.6,174.86
10,157.53,170.48,10.8,178.07,149.45,178.98,167.92,15.14,169.39,167.58
11,152.54,174.36,10.25,173.85,141.92,178.81,166.9,13.43,167.09,162.98
12,155.56,170.28,10.74,168.83,164.17,177.68,164.27,10.84,165.16,126.23
13,155.1,173.47,10.15,168.0,144.46,170.68,165.69,12.52,168.33,154.31
14,156.42,173.74,9.88,165.01,135.46,161.75,165.79,14.47,171.86,158.68
15,157.74,169.21,10.9,162.13,139.07,152.91,167.11,15.31,173.97,160.77
16,158.44,165.05,9.98,159.77,142.97,145.11,163.81,15.07,173.7,161.46
17,159.72,164.86,10.11,161.73,155.46,138.3,164.09,15.8,172.17,156.42
18,160.46,167.0,10.21,164.23,167.72,130.76,163.49,15.8,172.09,152.78
19,160.54,169.12,10.42,165.58,177.69,121.78,155.19,15.73,171.49,149.28
20,159.49,168.66,10.18,165.94,178.02,108.49,152.58,15.6,172.85,148.59
21,158.58,173.6,11.14,166.91,178.24,92.55,149.43,15.46,174.72,148.31
22,154.07,173.56,9.85,167.09,173.72,73.32,145.7,15.01,176.53,151.81
23,153.07,174.1,8.84,167.43,171.08,57.96,155.75,15.45,178.81,155.73
24,153.53,169.8,8.73,167.26,170.45,55.71,170.26,15.69,178.1,157.01
25,151.42,172.19,9.06,167.5,172.34,58.38,179.46,15.71,179.58,159.68
26,148.59,179.6,10.07,167.45,175.8,50.15,138.17,16.44,179.74,160.29
27,146.35,178.18,10.89,165.63,177.91,54.78,131.08,16.83,179.58,159.76
28,146.5,176.93,10.07,164.55,177.8,60.41,137.3,15.67,179.07,153.94
29,143.35,175.83,9.27,162.26,172.03,61.22,138.38,14.75,177.83,149.38
30,142.09,170.01,9.79,158.71,161.65,61.69,159.67,14.38,178.62,145.92
31,140.53,167.67,9.46,157.89,152.7,66.62,171.68,12.68,179.78,141.33
32,139.3,164.85,9.61,158.5,150.95,58.08,157.29,10.75,177.47,137.6
33,138.23,151.28,11.82,160.63,152.9,47.38,135.74,10.67,174.43,135.5
34,122.73,140.11,13.68,160.84,154.96,46.79,155.91,3.91,172.94,137.09
35,112.37,161.75,27.47,159.58,153.5,48.09,166.92,1.86,172.5,141.54
36,86.46,166.85,29.34,158.89,158.11,48.49,164.75,9.81,172.47,146.2
37,62.14,155.17,21.44,158.98,162.45,44.88,160.51,15.97,175.1,150.8
38,40.16,170.88,18.25,160.49,169.67,40.14,165.95,22.33,178.19,151.49
39,38.46,169.74,21.73,160.5,171.41,46.0,166.1,35.75,179.56,159.91
40,50.6,178.52,31.19,160.73,168.18,47.97,165.7,46.9,174.89,159.66
41,60.67,176.27,45.94,160.07,161.58,59.58,160.57,62.22,173.21,159.47
42,72.34,171.66,58.95,160.55,152.31,67.18,164.44,71.92,169.29,155.8
43,81.35,137.39,56.75,163.06,148.21,76.47,163.83,79.64,167.68,155.58
44,94.34,163.09,60.31,165.9,144.85,92.01,167.52,98.96,167.72,156.14
45,91.08,174.76,31.99,169.56,146.23,106.23,164.14,115.65,167.89,159.2
46,83.63,145.57,19.89,172.36,137.76,117.15,166.63,126.44,171.06,166.2
47,65.49,57.92,27.21,175.35,137.93,127.03,169.13,134.5,171.61,167.77
48,124.21,135.29,9.82,179.37,139.08,134.25,171.92,142.89,173.4,174.99
49,144.75,154.96,5.64,175.04,146.75,138.69,174.79,145.71,169.91,170.96
50,161.12,165.23,3.92,179.55,166.59,140.8,176.7,149.27,178.81,151.49
51,160.71,169.74,4.64,170.51,160.22,142.67,175.35,152.74,169.3,176.44
52,154.16,155.17,139.09,171.21,160.43,145.84,174.76,156.44,156.08,164.7
53,165.74,157.51,167.88,173.23,160.89,148.32,171.31,160.96,151.08,157.5
54,164.91,150.78,173.14,178.99,154.08,150.31,171.28,163.88,148.29,150.39
55,160.51,168.73,170.26,178.59,155.01,151.5,172.06,162.91,148.56,146.08
56,151.58,174.76,174.56,171.64,147.62,150.13,175.33,161.88,149.33,140.98
57,152.79,172.05,176.69,171.75,151.07,150.05,176.03,160.23,157.22,143.83
58,158.71,170.32,176.19,172.52,154.42,151.74,176.88,159.64,164.15,140.02
59,170.31,169.73,170.4,174.14,155.55,153.47,178.58,159.12,167.71,138.69
60,156.77,173.83,160.8,176.65,157.4,152.63,177.79,158.72,176.81,150.45
61,153.71,173.48,157.96,178.16,161.22,151.11,179.05,156.15,175.61,158.37
62,149.13,175.93,154.24,176.54,166.18,142.18,177.05,148.21,171.18,159.66
63,144.06,177.99,148.33,173.52,172.25,131.58,172.37,138.22,168.78,159.05
64,141.62,175.15,147.71,173.71,173.23,127.57,169.11,134.03,168.12,157.31
65,116.42,153.76,147.52,178.42,165.11,121.21,174.09,122.39,168.29,159.0
