frame,rea,rwa,rsa,rha,rka,lea,lwa,lsa,lha,lka,
1,168.93,177.53,10.21,174.71,179.96,116.02,159.05,24.01,171.65,167.6,3
2,168.9,177.87,10.37,174.33,179.84,116.46,161.63,24.82,171.81,167.38,
3,171.02,178.98,11.95,173.97,179.91,123.37,167.15,25.43,173.25,167.93,
4,174.24,179.95,13.95,174.19,179.91,131.76,167.61,26.48,175.08,169.41,
5,174.67,179.99,14.85,174.82,178.5,142.77,170.77,26.7,177.44,171.11,
6,176.63,176.95,16.39,174.89,179.5,150.6,174.7,29.02,178.64,172.86,
7,178.92,175.11,17.66,175.62,179.59,152.49,178.26,32.83,179.9,173.49,
8,178.89,174.07,18.12,175.2,175.85,152.58,176.8,34.56,178.08,174.92,
9,179.04,175.05,17.39,171.39,161.82,149.56,175.1,37,176.03,176.02,
10,179.11,175.7,16.57,170.52,151.54,145.58,175.84,39.15,173.79,176.7,
11,177.54,176.09,16.52,169.24,125.31,144.42,178.75,38.18,172.53,175.51,
12,177.49,175.85,15.6,167.97,119.07,134.31,169.67,35.22,171,175.57,
13,178.03,174.81,14.35,167.01,120.55,123.49,168.12,33.48,168.37,178.52,
14,177.83,172.52,13.7,167.46,136.83,68.42,131.21,32.46,166.6,179.43,
15,178.14,171.51,13.06,166.79,154.93,40.09,131.02,32.59,165.08,179.84,
16,178.44,171.8,12.34,166.79,165.68,25.25,128.66,33.42,162.34,176.77,
17,178.4,172.63,11.96,164.09,167.2,20.21,142.43,35.29,161.22,174.88,
18,178.2,174.49,12.06,163.32,171.09,19.13,159.88,37.22,161.33,175.19,
19,177.3,173.14,13.09,161.54,171.73,15.66,159.98,40.98,161.36,176.21,
20,175.5,172.3,14.22,161.15,172.66,10.58,150.83,46.8,160.49,176.13,
21,171.47,172.35,17.94,159.5,172.45,7.89,173.09,52.4,159.95,177.52,
22,166.6,170.48,23.63,157.09,171.71,29.15,153.92,55.13,159.98,179.73,
23,159.41,175.01,33.23,152.95,168.25,133.67,143.72,58.06,161.81,175.48,
24,159.53,177.59,41.12,150.09,166.47,170.79,177.49,72.99,164.04,166.39,
25,172.2,173.19,46.08,146.4,163.63,171.07,178,82.68,166.72,161.16,
26,171.96,164.19,51.99,144.01,163.23,161.89,177.99,87.49,170.62,147.25,
27,162.85,153.36,58.8,141.74,161.87,153.64,169.56,88.01,174.11,140.26,
28,161.02,162.58,63.48,140.78,160.75,144.27,161.25,92.04,176,144.78,
29,161.44,165.59,64.48,139.07,159.62,142.45,161.27,87.59,178.71,149.61,
30,163.99,164.73,61.8,138.71,159.36,144.7,152.89,76.94,179.03,157.49,
31,172.41,170.45,60.78,140.89,160.65,149.19,160.68,67.79,179.41,158.19,
32,167.26,170.53,49.87,143.7,162.84,147.41,173.51,62.99,179.29,160.14,
33,169.48,163.51,37.46,148.21,166.63,138.57,174.91,56.35,179.29,158.38,
34,175.37,154.92,29.64,153.26,173.44,131.33,176.13,44.86,178.07,157.91,
35,173.59,163.31,19.87,157.01,179.31,122.11,175.59,33.7,177.38,161.83,
