frame,rea,rwa,rsa,rha,rka,lea,lwa,lsa,lha,lka,
1,123.41,154.04,7,174.35,177.08,123.96,164.86,8.62,144.51,135.01,2
2,124.84,161.69,7.9,173.55,164.56,145.69,177.89,0.1,143.96,123.74,
3,125.76,166.13,7.92,143.39,139.05,116.55,179.48,3.85,177.24,157.46,
4,124.86,166.71,7.04,158.07,161.98,81.59,157.05,9.9,178.02,158.61,
5,125.22,167.77,6.34,178.67,167.02,126.85,167.38,7.15,151.35,139.87,
6,125.86,168.38,5.67,178.34,165.17,150.69,174.2,5.33,151.55,141.11,
7,127.42,168.76,4.35,175.7,152.59,159.11,117.59,1.39,154.59,144.9,
8,128.98,169.32,3.71,173.47,144.58,160.49,131.04,0.33,160.84,150.9,
9,129.98,172.16,2.62,168.51,136.67,164.96,131.28,1.67,162.69,153.97,
10,131.95,174.76,3.32,160.48,127.52,165.75,151.76,3.1,161.65,152.8,
11,133.04,173.9,4.54,151.82,120.3,170.2,175.23,3.37,164,156.17,
12,131.86,171.49,4.35,148.92,122.27,171.09,177.02,3.23,162.58,153.52,
13,128.2,168.78,3.94,145.09,130.26,172.02,179.09,4.28,163.26,151.48,
14,125.19,166.01,4.47,143,137.87,171.5,177.93,3.04,162.98,150.06,
15,121.28,160.91,5.42,140.98,144.27,157.32,158.09,1.64,164.46,149.37,
16,122.19,161.39,6.03,143.6,155.38,169.19,176.83,5.71,166.88,150.19,
17,123.91,163.66,5.87,149.55,165.39,166.15,179.78,6.84,170.78,152.45,
18,125.75,166.44,7.29,151.36,167.33,170.75,179.88,6.61,172.75,154.77,
19,129.08,163.5,9.25,153.66,167.69,168.71,179.31,8.67,177.44,156.84,
20,138.4,163.1,13.55,152.91,165.02,165.64,178.86,9.8,179.49,160.23,
21,149.8,165.4,21.37,151.99,162.29,30.79,150.86,3.52,177.79,161.57,
22,163.02,160.83,31.31,151.25,159.59,149.03,3.85,15.87,176.77,162.41,
23,176.71,160.54,48.73,151.05,160.86,154.43,11.07,25.48,178.21,162.33,
24,172.67,156.96,63.44,151.34,162.25,131.25,82.89,151.35,176.92,163.19,
25,179.35,169.81,80.16,152.67,163.48,119.7,72.98,157.1,176.83,164.47,
26,164.94,145.04,88.67,153.74,165,127.64,83.11,168.18,176.65,166.06,
27,141.47,172.84,95.92,153.73,165.68,156.95,149.31,166.34,176.51,167.53,
28,116.02,178.83,93.7,153.01,166.55,146.6,157.53,154.17,176.52,168.61,
29,97.9,172.95,90.09,152.96,166.62,137.64,166.29,142.61,176.55,169.03,
30,92.53,172.87,87.82,153.64,166.54,112.89,164.05,119.89,175.4,169.78,
31,82.99,171.34,81.33,153.74,166.15,91.39,163.03,100.49,175.33,170.44,
32,77,164.27,77.48,154.31,166.27,89.47,158.2,101.69,174.88,170.52,
33,76.76,163.8,79.3,153.73,166.15,85.6,157.44,101.22,174.85,169.96,
34,73.79,157.19,75.01,154.29,166.53,85.34,158.24,101.23,174.54,169.71,
35,66.75,159.95,65.76,154.56,166.61,86.05,158.02,102.1,175.32,168.52,
36,63.38,167.62,59.04,154.51,166.56,81.36,159,95.38,176.33,167.33,
37,62.35,170.09,54.56,154.95,167.08,87.47,154.16,102.42,175.55,166.15,
38,68.61,160.54,45.14,156.67,167.76,112.36,161.56,119.39,174.53,165.89,
39,73.63,160.2,36.23,157.13,167.62,105.91,145.17,103.06,173.99,164.18,
40,78.07,161.29,27.64,157.01,166.79,86.02,154.7,55.37,175.56,161.53,
41,94.55,172.78,22.44,156.57,165.08,43.55,138.54,36.55,177.94,159.27,
42,106.42,167.81,17.85,156,163.32,109.3,50.66,33.56,179.07,158.08,
43,119.37,179.34,10.28,157.06,164.85,115.09,40.66,19.47,179.65,157.23,
44,128.15,169.15,4.98,159.35,167.74,75.96,154.13,22.16,179.74,156.59,
45,133.76,172.22,2,159.11,169.5,111.84,162.25,9.89,177.9,156.59,
46,138.32,178.43,0.45,159.55,172.3,161.62,171.97,3.7,176.77,158.52,
47,137.47,179.24,3.36,161.73,176.83,139.26,178.36,8.07,175.26,159.13,
48,138.35,177.41,4.71,161.15,178.73,138.37,172.59,7.9,173.97,160.22,
49,139.8,179.63,6.02,160.03,175.47,154.09,176.77,4.98,171.46,158.94,
50,138.57,178.92,7.47,158.28,167.54,156.45,168.93,4.56,167.49,155.1,
51,139.84,175.51,5.34,156.26,157.93,155.42,176.76,2.9,164,152.42,
52,139.5,177.2,3.76,154.78,150.46,155.75,176.62,2.04,162.16,152.7,
53,136.36,174.08,4.38,153.51,142.37,155.4,177.87,2.28,160.04,151.79,
54,135.57,173.91,3.66,156.56,140.37,153.34,169.41,1.76,160.32,153.5,
55,136.81,174.85,2.24,160.83,142.79,157.22,178.22,2,155.49,148.68,
56,135.81,177.92,2.23,165.79,146.18,149.06,175.61,2.34,158.03,152.64,
57,134.09,174.29,2.21,173.98,151.99,149.29,175.73,3.05,165.4,161.67,
58,132.34,174.29,1.74,176.33,152.96,150.09,171.18,2.36,166.23,165.39,
59,129.99,171.42,1.11,179.06,161.26,145.54,173.69,3.48,166.92,166.94,
60,130.02,172.47,0.3,174.8,168.31,147.31,164.15,4.78,165.13,164.49,
61,130.7,174.08,0.1,172.34,172.83,113.52,170.73,7.63,160.45,160.37,
62,128.55,165.87,2.75,173.04,174.74,119.37,161.49,2.42,156.44,155.32,
63,125.48,161.41,4.71,173.72,176.73,125.06,173.68,1.95,155,152.51,
64,122.93,162.48,5.85,174.26,177.38,75.98,158.41,9.33,148.38,142.95,
