frame,rea,rwa,rsa,rha,rka,lea,lwa,lsa,lha,lka
1,159.81,177.73,6.45,169.11,164.79,129.13,166.38,27.08,176.96,163.26
2,161.14,179.23,8.53,173.09,168.69,136.9,169.43,30.22,177.63,161.98
3,162.1,179.07,11.73,176.55,172.39,147.86,159.86,32.13,176.71,158.13
4,165.81,175.15,14.25,179.76,175.27,155.83,163.14,33.42,175.53,154.78
5,168.54,175.21,15.8,178.71,177.19,155.4,160.05,37.21,176.56,157.39
6,172.35,173.62,16.16,177.14,178.5,156.95,161.26,37.16,179.9,162.78
7,175.16,174.18,16.33,179.56,167.7,159.31,159.67,34.61,178.1,170.11
8,178.39,174.89,16.41,174.4,143.41,161.58,158.98,32.58,175.27,175.54
9,178.89,177.0,15.98,169.48,113.85,160.99,159.18,31.83,173.05,176.89
10,178.99,175.79,15.18,166.83,93.66,161.08,161.47,31.57,170.17,177.23
11,179.08,177.08,14.89,165.01,102.74,159.64,177.0,33.55,167.51,177.45
12,179.0,175.22,15.36,163.14,116.08,155.95,132.93,33.51,163.69,179.59
13,177.51,172.51,15.55,159.47,145.13,35.5,152.79,35.16,160.43,179.87
14,174.72,170.14,16.1,153.98,149.71,7.54,157.11,37.99,159.41,179.65
15,176.42,174.01,15.84,152.45,156.49,5.38,176.15,44.37,158.61,175.7
16,176.19,174.6,16.61,150.88,157.92,9.5,173.71,49.82,157.03,173.3
17,174.57,172.22,19.38,152.51,168.57,18.83,166.76,56.11,156.21,170.16
18,174.2,168.52,21.23,152.99,173.33,121.86,64.68,66.43,156.03,166.83
19,170.67,173.53,28.25,151.2,168.92,159.96,166.67,68.42,156.8,158.9
20,166.0,172.36,37.83,148.06,167.79,173.44,175.5,81.42,157.67,144.23
21,168.08,176.78,47.15,140.88,160.73,175.5,176.18,91.11,160.89,95.17
22,174.62,172.05,55.61,135.14,155.42,171.24,147.19,94.83,165.42,64.64
23,163.69,163.74,66.07,129.12,150.98,167.18,148.48,94.02,170.46,61.72
24,158.57,168.83,74.31,126.4,150.07,168.85,146.63,86.52,176.23,55.97
25,158.4,170.64,77.32,122.54,146.96,155.6,146.41,84.71,179.08,52.24
26,163.58,170.85,80.7,120.91,146.72,152.57,151.72,79.67,176.31,49.36
27,163.62,175.91,74.19,126.94,150.03,154.37,146.36,68.05,174.26,54.99
28,177.64,177.11,66.21,132.77,153.32,155.95,150.36,56.14,174.72,66.52
29,174.29,173.76,61.24,137.48,157.24,155.43,158.12,48.86,175.88,116.41
30,173.9,170.74,44.95,142.52,160.29,154.53,159.18,42.11,175.81,140.49
31,179.16,168.52,28.33,144.72,162.84,151.03,164.98,36.04,174.08,150.27
32,179.57,166.17,17.51,153.7,169.18,149.55,171.76,30.52,175.7,153.11
33,177.47,168.84,8.71,158.31,174.81,144.96,172.79,24.23,178.14,158.23
34,172.86,179.61,7.72,162.23,178.73,139.98,178.86,18.71,176.72,158.79
35,166.39,175.16,1.08,165.0,174.73,117.3,172.77,15.64,175.19,157.86
36,72.64,177.3,17.06,166.17,173.67,104.82,176.45,13.2,175.57,162.94
37,97.91,153.86,2.16,165.62,178.57,85.37,171.91,12.22,173.48,164.64
38,148.37,165.99,1.88,166.36,177.84,73.71,170.77,12.93,171.85,167.84
39,166.09,174.45,0.22,166.18,173.34,78.01,174.4,12.22,172.15,173.12
40,175.57,179.52,5.98,163.91,166.31,93.26,172.36,13.05,172.79,177.82
41,177.92,178.92,8.7,162.86,161.62,98.29,158.4,14.72,173.49,178.0
42,169.82,166.12,6.27,160.86,155.06,105.82,165.52,19.06,171.85,173.94
43,164.55,175.43,7.78,159.99,149.8,115.41,160.32,19.81,170.59,168.87
44,163.2,172.48,8.2,158.85,142.06,124.77,163.64,22.38,167.28,163.53
45,160.6,171.27,7.0,162.26,143.59,136.28,170.48,23.81,166.64,163.49
46,160.1,176.44,9.14,167.22,152.45,142.61,172.42,25.9,165.67,160.31
47,162.49,178.79,6.25,167.93,148.21,148.31,164.0,26.0,163.85,158.06
48,165.23,177.67,1.84,166.5,149.24,148.71,162.13,27.64,160.76,157.25
49,165.77,175.49,0.05,167.49,154.94,146.63,161.57,30.52,158.94,156.42
50,168.43,174.07,2.15,166.24,157.18,141.6,163.26,34.67,159.78,158.92
51,167.64,174.39,4.18,166.6,161.32,139.66,164.56,36.03,160.86,163.2
52,166.09,174.08,3.96,168.6,164.3,139.98,166.25,35.62,162.87,167.95
53,164.69,171.67,3.54,170.39,168.85,140.25,166.09,34.46,164.06,172.31
54,164.47,172.42,4.31,170.55,169.09,141.34,167.69,31.78,163.96,173.77
55,165.3,172.08,5.2,168.05,166.34,142.9,169.2,28.53,165.54,173.91
56,164.6,174.86,5.35,165.58,164.53,143.9,169.64,26.15,166.25,168.41
57,165.43,175.05,6.73,161.64,160.45,140.59,174.38,24.78,166.23,167.58
58,165.34,173.53,6.91,159.29,156.96,132.95,170.87,23.3,165.74,163.81
