frame,rea,rwa,rsa,rha,rka,lea,lwa,lsa,lha,lka
1,130.25,158.09,24.36,178.02,175.26,102.38,175.89,37.58,170.3,157.88
2,134.59,160.29,27.45,178.74,173.32,9.5,138.01,24.25,168.7,159.03
3,136.28,163.66,26.48,177.26,171.98,18.69,79.49,33.87,167.83,160.41
4,137.38,169.82,23.49,175.09,168.39,15.7,40.53,38.34,168.24,164.26
5,136.24,171.73,20.54,174.14,165.11,43.98,22.37,39.71,168.05,165.17
6,134.97,169.36,19.96,170.89,155.7,59.05,15.69,40.67,166.83,162.21
7,134.85,166.5,20.53,164.96,145.57,57.62,1.42,43.09,167.36,161.63
8,134.99,163.9,21.26,159.57,141.51,54.68,8.51,41.96,168.11,163.11
9,137.93,164.21,22.9,156.05,136.45,59.65,6.98,41.15,170.28,166.76
10,135.95,157.6,25.16,152.75,134.98,2.73,98.83,40.89,169.54,165.74
11,134.52,156.35,26.78,149.35,138.61,18.32,143.03,39.1,170.2,164.23
12,132.56,161.5,27.71,144.13,138.97,17.65,165.54,38.62,170.5,163.07
13,129.04,163.15,27.62,144.91,147.14,19.36,149.06,31.2,171.78,163.64
14,130.21,177.37,29.1,146.72,156.82,14.0,132.15,33.35,172.85,164.13
15,125.7,178.82,30.2,148.43,166.0,14.81,105.16,29.4,175.27,165.06
16,122.83,176.87,32.45,148.46,169.94,140.21,157.79,12.23,175.75,164.25
17,100.41,129.4,33.12,150.91,171.86,20.72,128.02,23.21,177.55,163.95
18,110.7,149.17,33.69,151.46,171.87,152.01,174.13,136.33,179.56,164.01
19,98.06,167.38,37.76,151.02,168.82,105.45,157.21,108.94,178.78,163.87
20,51.33,147.02,42.19,148.19,162.83,124.5,138.92,4.22,176.38,164.2
21,163.4,169.56,58.73,146.5,159.27,53.89,139.27,91.05,175.71,164.04
22,167.45,176.12,69.12,145.13,156.54,87.52,135.11,112.77,175.01,164.59
23,164.48,169.51,78.9,145.14,157.45,178.66,153.59,157.04,175.16,165.08
24,178.73,179.5,98.07,145.4,157.49,134.82,157.63,126.16,174.7,166.54
25,173.71,165.45,100.7,146.83,159.72,118.53,174.19,107.26,175.83,167.54
26,169.09,171.74,105.72,144.68,158.41,131.87,146.13,101.43,176.8,167.63
27,167.45,172.5,106.28,145.13,159.2,134.94,138.05,95.21,176.98,168.36
28,163.45,169.94,103.86,145.21,159.11,134.44,107.14,91.08,176.85,167.67
29,164.23,172.94,100.97,145.38,158.7,150.37,161.11,89.56,176.43,167.03
30,166.14,173.78,95.96,146.2,158.98,140.65,145.82,85.53,177.03,166.58
31,172.94,169.69,90.7,146.82,159.76,146.09,143.91,84.67,177.55,166.19
32,175.87,162.34,81.44,146.88,159.82,144.79,157.09,83.27,177.93,165.34
33,173.52,165.19,73.0,146.91,160.11,155.58,171.34,76.94,178.36,164.05
34,154.27,155.97,58.13,146.67,158.9,142.98,162.94,59.09,178.54,162.66
35,154.98,166.6,48.74,146.35,156.1,160.19,144.88,39.76,179.83,160.56
36,149.09,166.11,38.48,146.77,154.92,55.74,67.61,31.24,179.39,158.97
37,147.7,171.2,28.68,147.93,154.84,29.93,103.03,21.72,178.9,156.18
38,141.61,166.27,22.93,145.42,152.24,42.59,162.26,27.45,177.22,151.82
39,145.87,169.6,17.9,146.04,153.9,16.03,148.0,35.5,177.01,149.88
40,143.36,168.2,13.06,148.83,158.61,32.94,143.46,40.82,178.55,152.85
41,142.45,170.84,10.34,150.41,162.93,26.8,164.65,38.79,179.08,154.6
42,140.95,171.64,6.96,155.19,171.28,2.95,157.32,33.54,178.79,158.38
43,140.53,174.67,4.62,158.12,176.72,73.59,107.45,23.83,177.78,161.07
44,136.51,170.33,3.75,158.25,177.89,119.5,34.21,17.31,175.65,160.82
45,135.53,166.89,5.29,155.79,168.04,138.29,173.57,1.5,173.62,161.56
46,132.47,165.02,3.84,154.28,160.84,97.96,154.11,12.35,172.74,162.11
47,131.13,162.26,4.51,153.24,153.99,105.49,174.02,3.14,170.29,160.2
48,131.16,156.78,5.75,154.03,148.85,4.43,173.05,21.06,169.59,160.09
49,132.09,160.15,7.64,153.85,145.14,1.6,178.9,21.06,167.46,159.19
50,130.75,161.44,8.33,157.58,142.29,36.09,178.98,21.84,167.5,160.31
51,132.05,161.26,9.21,159.9,142.52,41.77,127.41,28.69,167.7,161.12
52,135.19,167.21,9.37,165.76,150.65,70.77,84.7,28.79,167.4,160.98
53,134.19,169.17,8.31,168.82,154.73,81.08,106.12,30.84,166.44,159.64
54,133.99,168.49,9.35,172.11,159.06,83.95,77.28,32.04,167.81,166.15
55,134.85,169.09,11.03,173.87,164.83,72.0,170.36,33.2,168.59,171.07
56,135.12,167.97,13.37,172.71,166.65,49.04,49.63,36.54,166.53,166.78
57,133.73,164.31,14.59,174.54,170.04,41.59,23.35,33.46,163.87,162.52
