frame,rea,rwa,rsa,rha,rka,lea,lwa,lsa,lha,lka
1,159.85,176.44,3.79,150.55,139.69,87.98,163.89,7.74,150.85,122.56
2,159.6,177.55,5.05,150.82,140.04,88.16,167.21,8.5,151.76,125.8
3,158.54,177.78,7.8,153.78,144.99,80.46,172.92,9.2,154.94,131.84
4,152.69,177.52,14.63,158.0,153.36,80.61,176.24,8.49,158.79,140.19
5,148.49,178.02,18.84,162.37,161.36,62.88,177.16,16.02,162.58,147.7
6,139.32,175.09,24.51,165.36,168.9,68.56,151.8,18.33,159.98,144.45
7,129.87,177.15,30.96,167.1,172.15,70.76,169.17,38.91,162.66,151.16
8,125.62,176.13,35.71,170.19,172.71,59.02,178.99,49.75,164.58,158.2
9,121.09,179.73,43.09,173.5,173.02,60.24,161.11,51.13,167.7,164.22
10,117.6,177.99,45.3,174.71,169.21,15.33,172.67,58.54,168.09,168.11
11,116.73,178.56,49.06,175.13,166.52,5.87,174.76,56.93,168.47,171.1
12,113.24,178.96,48.27,178.54,166.46,25.28,158.32,57.63,169.3,172.6
13,122.67,176.71,48.7,178.82,166.32,28.64,159.96,56.54,168.97,170.79
14,128.75,179.0,49.26,175.16,166.55,33.37,176.29,59.59,168.08,169.46
15,79.71,93.1,47.92,170.43,169.58,35.85,176.86,61.99,168.19,168.43
16,79.81,78.06,58.41,163.77,175.06,35.86,179.86,63.8,168.15,167.31
17,9.62,142.8,62.7,161.03,174.5,42.75,176.48,72.44,166.54,165.07
18,30.72,178.85,56.51,156.69,173.11,49.21,172.56,80.08,165.59,164.39
19,30.48,176.14,53.92,150.98,173.59,52.55,174.67,84.11,165.96,164.93
20,32.87,176.24,57.27,148.62,173.05,57.04,178.36,88.79,165.13,166.9
21,38.37,179.37,58.54,146.15,176.41,60.85,177.5,91.03,162.69,167.95
22,39.14,176.17,58.93,145.37,176.8,60.6,176.23,90.31,162.09,170.72
23,39.61,176.79,58.6,144.01,179.56,60.09,173.81,89.24,162.16,176.24
24,41.57,176.52,56.61,145.13,179.6,60.61,172.27,84.99,162.34,179.76
25,40.2,167.1,53.25,147.31,173.91,62.52,176.95,82.26,159.01,176.6
26,40.98,170.48,54.07,146.26,165.27,68.93,174.7,85.05,158.06,172.47
27,64.81,178.39,54.18,148.15,158.75,72.07,173.52,87.99,154.27,175.83
28,170.29,175.96,23.87,151.08,154.38,79.68,178.26,97.37,151.1,179.02
29,176.08,176.63,17.97,155.34,156.35,89.01,176.2,105.19,152.66,173.82
30,54.02,177.21,64.27,161.76,164.32,89.4,177.99,106.35,158.98,173.4
31,169.72,176.48,22.93,163.6,169.73,96.92,178.43,112.37,165.67,172.09
32,40.65,176.86,48.03,165.36,176.33,102.28,177.11,118.5,168.11,165.26
33,35.63,160.2,26.55,168.97,179.88,109.45,174.56,127.97,172.3,168.63
34,39.35,120.48,17.8,171.99,179.14,112.01,179.79,134.03,174.66,170.25
35,120.0,177.47,117.29,174.53,177.76,116.39,178.25,136.89,174.98,168.34
36,155.26,176.19,160.71,174.59,179.27,116.33,174.4,136.99,174.85,170.53
37,108.63,135.44,170.28,175.53,179.98,119.77,177.72,131.51,174.43,173.79
38,126.95,177.81,160.99,178.18,177.89,120.86,175.98,133.4,173.18,173.23
39,155.95,171.41,169.3,177.76,179.58,113.79,175.19,127.76,173.95,175.69
40,175.79,175.36,169.22,175.48,178.49,105.78,171.93,121.79,174.14,176.42
41,179.4,174.66,163.47,177.66,178.91,81.39,174.35,88.89,176.46,179.67
42,77.93,176.58,70.07,176.28,178.48,67.45,177.71,72.75,172.35,177.12
43,76.29,171.78,65.83,177.11,178.12,58.51,176.53,68.26,172.76,177.89
44,50.35,174.57,46.04,179.65,179.08,49.93,178.07,56.5,169.5,161.94
45,71.97,161.31,43.34,172.71,157.95,51.16,166.15,40.33,157.03,90.52
46,60.56,71.14,31.1,164.88,148.83,36.7,172.77,27.61,155.53,133.75
47,76.94,115.34,22.44,164.42,144.47,42.35,169.16,21.71,153.78,129.2
48,73.52,172.04,20.94,161.39,148.74,47.96,166.21,14.5,157.52,147.35
49,105.17,119.22,8.09,158.62,143.94,37.92,172.56,12.63,158.57,150.43
50,98.42,123.14,5.08,154.87,145.44,60.29,165.76,13.81,159.68,154.92
51,92.77,121.05,3.46,152.49,149.06,61.71,173.55,12.58,161.6,155.44
52,94.63,118.46,2.6,154.73,154.2,50.18,169.2,10.7,162.09,158.86
53,78.37,132.42,1.74,155.83,159.33,36.88,177.01,6.28,164.8,172.36
54,80.07,116.5,9.42,161.87,165.69,27.71,179.97,5.63,166.11,171.02
55,78.12,153.27,10.38,160.51,164.64,11.14,174.05,9.74,170.34,134.45
56,87.4,137.8,14.28,159.55,163.52,10.09,177.7,14.03,169.9,119.74
57,89.54,136.05,12.71,159.3,162.02,12.75,174.01,14.22,164.87,91.68
58,113.68,153.57,12.42,158.35,159.82,18.89,179.01,12.08,167.28,121.63
59,113.51,158.49,15.29,160.64,161.51,30.25,179.8,9.82,164.66,126.0
60,110.22,156.04,17.32,162.39,163.65,62.27,152.5,7.42,163.54,132.84
61,110.31,155.77,17.34,165.18,164.72,82.52,135.74,4.79,164.6,130.99
62,118.03,163.12,16.68,170.56,166.89,95.1,145.04,1.84,167.0,134.39
63,123.57,164.66,16.2,174.84,170.61,97.37,160.9,4.05,167.09,137.07
64,130.0,162.12,14.46,177.18,173.48,97.84,162.14,5.45,163.59,140.96
65,135.52,164.71,11.83,178.04,174.51,108.68,166.48,6.74,159.76,146.78
66,140.41,166.25,9.71,179.9,176.33,128.14,122.31,6.84,158.72,155.26
67,141.54,170.5,8.85,178.97,178.22,134.08,78.66,3.53,157.29,162.06
68,142.24,172.6,7.34,178.55,179.27,133.85,72.13,6.95,159.04,168.38
69,142.47,174.19,7.4,174.21,179.09,122.43,122.35,8.0,163.11,177.27
70,143.57,170.91,8.36,169.09,178.86,139.54,119.07,5.22,164.8,179.28
71,142.65,168.33,9.59,170.08,175.71,146.33,178.74,5.08,158.95,171.99
72,143.35,168.67,11.19,169.21,170.85,131.54,146.48,5.02,163.67,172.01
73,147.09,167.89,8.84,175.44,156.59,120.95,162.17,3.95,161.01,165.75
74,147.73,165.82,9.71,176.19,143.37,112.23,175.62,3.92,162.48,161.83
75,149.97,167.83,8.69,179.64,133.85,115.15,175.99,0.96,159.34,157.73
76,148.6,166.1,10.18,178.01,128.22,118.92,178.68,0.56,164.5,161.17
