frame,rea,rwa,rsa,rha,rka,lea,lwa,lsa,lha,lka,
1,164.99,172.99,3.49,173.4,173.73,150.66,172,11.96,172.74,179.61,2
2,168.89,179.9,0.76,173.17,172.86,151.27,171.64,12.03,172.53,179.94,
3,171.87,174.78,2.76,172.36,173.71,156.22,174.09,12.63,173.03,179.31,
4,172,172.73,3.86,172.35,176.19,159.15,174.1,14.02,174.05,179.52,
5,169.44,171.71,4.7,171.81,177.94,157.43,172.46,15.77,175.58,179.86,
6,166.81,173.28,5.65,171.68,179.98,155.17,170.64,17.48,178.08,177.49,
7,163.41,177.74,6.03,171.69,178.36,153.3,170.93,19.7,179.85,174.56,
8,162.01,178.79,7.08,172.12,176.4,152.37,170.96,20.85,178.85,173.36,
9,161.63,178.98,7.39,172.76,175.21,150.3,172.74,22.96,178.82,172.38,
10,161.01,177.38,7.42,174.22,173.54,150.08,172.29,23.46,178.85,170.61,
11,159.69,177.62,7.12,175.06,173.63,147.69,170.57,24.77,179.3,169.24,
12,159.56,179.78,7.04,174.49,176.05,142.04,169.31,27.76,179.3,167.78,
13,159.21,177.24,6.81,171.57,177.1,137.44,169.47,31.15,178.92,168.37,
14,159.08,179.22,5.92,166.42,166.34,134.56,169.23,31.56,177.3,169.29,
15,159.41,179.68,5.96,160.21,153.87,130.83,169.14,29.4,176.58,169.84,
16,160.62,177.8,5.77,153.95,143.27,123.99,169.45,27.2,176.04,170.29,
17,159.6,176.07,4.8,148.24,139.25,117.58,164.53,23.57,175.06,170.33,
18,156.25,178.1,0.91,142.56,137.65,110.75,168.74,18.23,174.42,170.98,
19,170.24,174.85,6.22,137.52,139.82,105.53,163.5,12.76,174.99,170.2,
20,168.27,168.59,3.9,134.18,145.34,101.58,175.27,6.59,175.22,169.02,
21,157.3,178.96,8.72,132.41,153.1,91.3,170.35,1.77,175.4,168.29,
22,40.49,170.39,28.78,128.84,153.04,84.08,158.25,1.3,174.8,169.52,
23,148.42,164.49,19.58,130.4,154.44,76.59,153.97,4.79,170.89,172.54,
24,156.54,147.98,30,133.96,153.01,60.22,179.33,9.91,167.35,175.25,
25,175.38,166.77,15.74,137.11,151.3,50.46,170.12,9.24,167.03,172.09,
26,167.85,172.14,9.95,138.42,148.68,39.59,177.11,6.74,164.35,174.4,
27,165.25,165.69,7.93,143.23,149.18,43.08,169.39,9.61,163.95,175.58,
28,168.36,161.32,10.96,149.64,151.16,44.62,163.84,9.14,164.77,179.06,
29,164.47,179.54,11.11,150.71,148.36,44.96,156.5,10.17,169.66,175.85,
