frame,rea,rwa,rsa,rha,rka,lea,lwa,lsa,lha,lka,
1,157.57,176.04,8.67,167.94,164.61,73.09,178.39,13.32,173.1,171.75,2
2,157.77,176.28,9.1,168.69,167.38,73.88,174.23,12.46,174.08,175.93,
3,156.67,176.01,9.72,168.17,170.05,74.65,165.99,12.19,174.21,176.37,
4,157.3,173.76,10.74,167.08,171.48,77.6,163.42,12.3,175.7,175.57,
5,158.37,172.95,11.61,166.21,171.37,81.12,163.25,12.67,177.19,174.5,
6,157.9,173.13,11.44,166.17,172.56,83.36,165.01,12.98,179.64,172.85,
7,157.03,173.08,10.93,164.27,170.43,85.45,166.77,13.81,178.66,171.59,
8,155.43,175.58,10.72,160.34,166.86,88.65,171.91,13.45,177.14,170.24,
9,156.55,177.17,10.95,158.63,164.34,87.06,171.06,12.73,174.85,171.3,
10,155.09,178.09,10.08,154.67,159.53,84.44,168.63,12.71,172.09,172.04,
11,157.61,174.39,11.37,150.2,153.52,86.09,171.61,11.99,172.78,171.46,
12,157.54,175.57,12.5,146.82,148.1,86.14,168.53,11.12,173.31,171.42,
13,158.22,176.57,14.33,144.52,144.66,83.63,164.88,9.71,173.83,169.99,
14,157.92,176.92,15.04,141.1,140.17,85.96,160.79,8.79,173.97,169.14,
15,157.8,176.32,15.59,140.29,138.48,93.56,168.46,8.37,173.49,168.52,
16,157.34,173.8,15.64,140.41,137.17,91.84,171.67,8.51,172.59,168.94,
17,155.33,174.72,16.86,139.64,135.75,91.35,171.15,8.83,171.77,169.15,
18,158.52,172.1,18.2,142.18,136.48,94.28,172.28,9.53,170.02,170.11,
19,157.22,171.05,18.11,145.07,138.74,88.87,165.92,13.05,167.51,171.31,
20,155.87,170.14,16.78,150.14,142.89,85.04,139.14,13.78,168.49,170.05,
21,154.33,175.1,17.21,154.88,146.09,88.7,142.69,14.41,169.23,170.27,
22,151.93,176.81,17.08,158.66,149.27,82.32,141.77,15.83,171.44,170.94,
23,150.85,174.33,17.54,160.7,149.28,78.9,136.61,17.13,175.27,170.42,
24,147.17,179.85,19.01,157.88,144.4,75.5,123.24,17.25,179.39,169.06,
25,147.7,178.26,24.14,151.53,138.25,82.12,126.64,18.79,178.22,166.17,
26,141.61,177.66,25.89,145.7,136.73,81.05,121.13,21.52,178.36,161.57,
27,136.4,179.39,28.21,139.58,138.13,92.67,135.26,23.73,179.02,163.23,
28,129.46,166.55,31.4,137.73,145.92,107.87,144.43,26.52,176.46,163.23,
29,124.66,176.13,36.83,138.4,157.73,129.38,163.9,28.24,176.39,162.6,
30,122.4,144.33,39.24,140.27,166.61,153.5,176.93,28.26,175.4,159.36,
31,129.7,148.08,40.72,141.73,169.4,160.14,177.35,31.62,173.59,155.93,
32,102.51,146.4,33.11,140.04,168.35,160.98,176.59,41.96,173.31,152.26,
33,146.23,162.73,47.78,138.84,158.68,170.63,178.04,39.48,172.46,146.46,
34,140.35,150.83,51.93,133.39,150.27,170.86,177.56,43.32,170.54,143.68,
35,174.28,158.26,46.03,121.12,131.99,138.39,140.59,56.95,178.5,146.7,
36,177.97,162.26,47.6,124.44,126.93,140.78,140.35,62.35,179.12,142.7,
37,177.19,164.95,46.31,123.15,124.53,142.09,135.9,67.79,178.17,139.63,
38,178.98,164.98,48.42,120.61,120.81,157.37,161.07,80.12,175.62,137.18,
39,162.28,170.29,85.23,109.75,121.83,151.12,157.48,36.3,179.89,130.49,
40,136.01,172.33,80.19,109.73,123.4,155.65,159.27,39.75,178.82,127.56,
41,118.71,176.65,73.04,111.71,125.85,159.51,162.85,43.96,176.79,124.97,
42,106.94,178.38,63.43,114.23,127.98,162.48,164,46.63,173.91,121,
43,92.32,169.48,49.22,115.93,129.08,166.17,170.05,45.21,173.33,121.71,
44,99,173.6,43.35,117.53,130.77,169.38,176.6,43.33,172.34,123.41,
45,110.47,161.04,36.73,119.36,133.48,171.18,177.1,40.41,172.78,126.45,
46,124.76,161.16,31.9,121.39,135.33,177.92,175.46,41.36,173.26,130.44,
47,132.27,146.79,24.6,124.24,138.57,167.82,168.69,42.7,175.11,136.02,
48,144.8,151.98,19.32,130.16,145.16,168.44,173.71,38.56,177,139.78,
49,154.95,168.95,13.89,136.96,150.82,166.8,178.78,35.27,176.75,143.03,
50,160.87,174.14,11.67,141.3,154.67,160.81,178.25,33.87,179.41,151.68,
51,160.4,177.41,7.53,142.92,157.11,157.49,168.9,30.63,177.92,156.14,
52,169.37,175.35,7.78,149.83,166.82,154.23,164.85,28.96,175.06,159.72,
53,165.99,179.68,7.97,154.34,172.61,147.47,173.19,28.02,173.12,163.33,
54,171.59,178.27,6.45,157.07,178.57,140.77,174.96,26.07,176.41,163.85,
55,170.45,179.91,7.57,155.7,178.92,135.35,175.87,24.1,176.7,165.85,
56,163.85,178.31,6.34,153.12,173.12,130.49,170.77,23.07,177.8,167.23,
57,162.68,175.04,5.87,154.33,167.55,129.05,165.17,20.2,178.74,168.29,
58,163.09,179.45,4.16,154.5,156.85,124.33,160.56,20.35,179.08,169.75,
59,158.99,179.62,1.04,155.81,153.48,124.74,166.35,19,179.15,170.57,
60,164.87,172.86,4.49,156.56,149.06,124.27,167.23,18.11,178.27,171.66,
61,167.94,169.13,6.03,160.06,147.45,122.32,163.59,17.95,177.53,172.88,
62,163.19,179.99,3.92,164.56,148.25,126.8,165.79,17.65,177.25,173.99,
63,164.81,178.87,5.94,168.78,152.45,128.75,165.58,17.61,174.78,169.37,
64,160.79,176.1,5.73,173.65,167.12,127.23,163.94,19.31,175.16,166.95,
65,83.93,170.9,7.5,175.67,174.5,127.99,162.3,18.33,175.11,168.33,
66,158.57,175.13,7.39,174.69,175.65,128.37,162.93,17.34,173.81,169.97,
67,162.34,178.28,7.94,173.04,176.21,130.14,161.16,15.93,171.27,169.82,
68,161.18,169.9,8.4,170.93,175.25,131.61,163.09,14.7,169.52,170.34,
69,160.98,167.85,8.85,169.88,173.79,133.53,165.35,13.8,169.98,169.45,
70,160.14,175.47,11.19,170.41,175.21,129.97,162.26,14.2,170.69,167.32,
