frame,rea,rwa,rsa,rha,rka,lea,lwa,lsa,lha,lka,
1,156.7,176.46,4.45,162.33,157.34,110.49,168.31,18.72,176.59,162.17,3
2,162.8,175.93,6.42,161.7,156.24,114.36,166.26,18.86,176.06,161.46,
3,161.88,176.43,7.13,161.06,154.19,119.19,175.65,22.35,173.75,155.6,
4,158.24,179.53,8.13,161.01,153.52,128.07,168.78,24.34,168.95,146.37,
5,159.52,177.43,10.28,161.22,151.69,137.05,172.76,27.02,166.48,140.96,
6,162.63,176.44,12.01,163.6,152.02,139.18,165.92,31.48,167.81,143.38,
7,161.77,177.03,11.87,165.03,154.41,139.4,163.51,33.43,166.9,144.05,
8,165.82,175.8,13.27,168.36,159.67,137.29,161.1,37.44,168.5,153.19,
9,167.95,177.13,12.71,174.59,170.26,128.87,165.47,47.14,172.98,159.08,
10,169.83,177.98,11.22,178.62,163.72,132.69,167.74,45.62,176.99,175.72,
11,172.63,176.68,10.91,178.06,148.67,143.48,169.02,38.02,179.06,178.75,
12,175.8,175.11,10.78,176.56,127.05,151.76,169.25,34.31,178.41,179.15,
13,177.35,175.92,10.64,176.26,101.5,156.09,170.38,31.27,174.46,178.49,
14,177.42,176.23,10.51,174.12,90.89,165.17,176.06,27.78,170.93,178.39,
15,179.2,174.59,11.91,170.62,88.43,159.19,179.44,26.96,168.61,178.69,
16,179.32,175.69,12.93,167.99,108.73,63.58,148.85,27.7,166.01,179.43,
17,177.73,179.75,14.77,165.24,137.83,12.72,168.55,29.12,163.27,178.25,
18,179.93,178.38,17.43,160.97,150.35,4.94,170.17,31.06,160.06,179.11,
19,178.92,171.12,21.35,153.18,148.84,2.57,169.82,32.42,160.05,179.92,
20,176.79,156.32,26.72,147.28,150.06,2.64,167.15,35.09,158.79,177.7,
21,177.97,157.61,32.52,146.21,155.47,14.35,170.77,44.5,157.66,175.28,
22,175.69,174.09,40.32,145.43,162.16,25.88,174.85,51.73,157.93,170.9,
23,179.98,177.31,43.98,148,170.58,39.61,170.67,62.97,156.38,169.09,
24,174.32,179.7,49.03,148.49,173.19,55.79,175.08,63.82,156.55,165.82,
25,168.17,168.41,58.12,146.72,169.19,82.9,171.35,67.22,155.34,164.68,
26,162.11,159.01,72.57,141.61,165.28,104.93,172.95,72.88,157.54,159.17,
27,169.97,178.29,90.24,134.3,154.93,123.46,172.23,84.66,161.51,117.2,
28,177.36,172.76,99.19,127.75,148,121.97,165.79,78.67,166.82,91.59,
29,162.01,159.59,93.95,123.12,144.9,131.97,158.23,73.05,172.65,67.89,
30,152.89,172.6,83.11,123,144.94,158.41,146.84,67.16,177.84,66.56,
31,163,158.97,75.91,122.66,145.06,173.32,131.45,57.95,179.32,71.92,
32,175.09,177.98,67.13,121.76,144.96,176.53,120.63,47.68,175.4,73.99,
33,177.96,179.07,53.34,126.87,147.78,171.14,144.62,38.07,173.8,74.87,
34,178.34,179.19,42.12,129.92,149.99,168.29,155.35,30.8,172.29,114.89,
35,179.59,176.59,31.26,136.31,156.31,162.47,157.26,27.37,170.43,134.62,
36,168.3,178.92,11.1,143.01,162.27,155.73,167.37,24.42,170.32,146.99,
37,171.36,179.36,2.66,148.02,165.83,137.32,167.73,23.11,169.31,150.6,
38,166.14,179.53,0.88,155.8,175.09,125.54,170.35,20.15,172.99,157.28,
39,154.9,179.73,0.06,161.24,175.27,106.71,158.56,17.55,174.84,162.33,
40,146.16,161.79,2.46,161.86,172.1,93.15,166.4,14.9,171.4,162.21,
41,107.9,178.71,0.88,163.94,176.74,70.33,173.64,12.72,167.71,159.81,
42,82.89,173.6,1.58,163.12,176.7,62.05,174.57,9.82,166.13,162.25,
43,94.11,129.22,0.2,164.22,172.45,62.3,170.9,7.54,167.11,169.03,
44,124.54,174.93,7.25,165.17,168.69,69.97,160.69,6.72,168.93,175.1,
45,86.12,176.68,5.82,163.44,163.8,74.35,151.98,8.98,169.85,178.91,
46,115.35,165.4,1.76,165.75,160.55,89.61,152.09,12.67,169.5,176.95,
47,125.63,173.72,2.44,164.02,153.37,99.86,172.21,14.82,165.85,168.78,
48,144.36,173.54,5.2,164.12,146.53,108.5,156.07,16.48,163.3,162.56,
49,157.9,173.75,5.81,165.28,152.92,124.22,161.7,18.46,161.69,159.09,
50,164.59,176.5,2.94,163.85,150.72,133.66,168.7,21.6,161.28,158.43,
51,172.38,178.49,1.76,168.05,151.12,148.43,176.33,20.39,157.49,154.89,
52,176.12,178.62,2.37,171.74,150.23,156.87,169.75,20.16,158.27,154.91,
53,174.74,179.6,3.98,174.72,152.96,155.82,166.64,24.92,156.65,154.89,
54,174.9,170.69,0.63,177.26,161.66,147.55,163.65,32.16,156.47,157.07,
55,172.42,168.82,1.1,177.49,161.56,142.36,166.78,36.77,158.43,162.31,
56,165.75,173.99,0.53,175.96,164.71,136.68,164.07,38.36,160.64,168.51,
57,164.89,170.1,1.72,171.52,159.05,133.08,163.41,38.46,161.08,172.76,
58,163.27,170.65,2.1,170.26,160.06,130.03,162.28,37.89,160.29,173.01,
59,164.07,168.83,3.21,168.94,161.16,132.4,162.3,33.77,161.83,173.27,
60,161.41,170.69,3.72,166.52,161.25,132.27,161.41,28.89,159.89,168.4,
61,161.17,173.87,3.19,166.09,165.04,128.07,154.01,26.81,160.38,164.57,
62,161.9,177.75,2.8,164.49,164.36,126.21,146.52,23.73,161.98,161.93,
63,158.89,179.05,0.6,165.64,165.1,120.74,163.73,23.25,165.51,162.58,
64,159.73,172.58,2.81,168.22,168.42,114.64,164.24,22.23,168.38,164.25,
