frame,rea,rwa,rsa,rha,rka,lea,lwa,lsa,lha,lka
1,134.92,173.56,18.59,175.79,173.57,120.09,173.9,1.11,168.06,170.04
2,135.96,169.25,20.06,175.84,173.3,118.57,177.28,1.03,168.54,171.59
3,131.73,166.78,21.82,175.37,172.55,116.89,175.55,2.95,168.59,172.97
4,135.27,171.49,22.46,176.16,173.42,119.0,175.61,3.2,168.95,174.41
5,136.73,170.12,22.01,177.47,173.83,121.39,178.04,3.79,169.21,175.63
6,133.7,165.18,21.56,178.46,172.84,119.02,177.07,4.11,168.63,176.37
7,129.87,162.25,22.23,179.86,171.16,117.8,174.81,4.73,167.87,176.78
8,152.45,171.15,21.36,178.2,168.73,116.86,175.68,5.95,167.53,176.49
9,166.96,177.57,20.82,176.62,166.3,121.01,176.62,7.28,166.92,175.5
10,164.78,109.03,24.54,173.93,164.59,117.77,177.75,8.55,166.78,174.63
11,46.14,178.78,28.06,171.46,163.45,109.2,179.36,10.13,166.73,174.32
12,42.41,167.01,34.91,170.87,163.66,104.47,175.57,12.73,165.8,174.35
13,43.35,179.17,34.49,171.97,166.23,87.29,177.05,16.88,162.88,173.43
14,35.99,173.2,36.48,174.1,166.74,70.12,172.55,20.7,161.25,175.87
15,43.54,173.97,41.98,175.23,167.74,62.71,110.85,18.36,160.97,179.85
16,48.73,173.69,51.14,176.02,169.48,49.18,164.94,28.59,161.76,178.22
17,56.19,178.17,61.09,178.66,169.01,53.34,165.71,36.48,163.36,176.31
18,54.65,175.34,60.36,179.51,170.02,60.37,173.37,45.32,165.87,177.22
19,58.02,152.24,57.92,179.61,173.5,64.16,174.0,51.01,169.96,178.61
20,52.65,172.35,55.99,178.4,177.44,63.71,174.6,54.59,172.85,177.44
21,49.6,178.17,53.03,176.38,176.76,68.21,172.94,62.51,176.57,173.42
22,45.22,177.18,48.54,172.96,170.57,74.6,169.4,72.34,178.51,171.91
23,32.82,169.24,37.18,168.03,165.12,81.58,165.71,81.17,179.24,168.76
24,28.7,176.25,31.57,161.93,159.07,90.96,161.93,93.45,178.58,166.96
25,27.61,178.4,27.83,154.76,154.22,105.21,162.85,106.56,178.83,164.42
26,28.51,178.89,26.84,150.52,153.73,124.69,171.7,119.64,178.25,164.44
27,23.09,177.78,17.61,147.99,155.01,133.87,170.89,128.07,175.87,165.59
28,18.83,178.13,11.55,147.97,158.26,143.34,171.69,135.98,173.03,166.6
29,20.15,179.69,11.27,150.93,166.04,147.47,165.68,139.81,170.22,166.72
30,20.38,178.79,17.3,153.47,172.44,150.4,172.77,141.08,167.41,167.52
31,174.23,178.7,7.16,158.35,176.07,154.45,172.93,145.94,166.17,160.16
32,176.96,164.15,10.32,161.31,172.16,161.35,172.43,154.06,164.33,153.06
33,149.85,34.4,139.68,163.41,168.96,165.12,173.23,158.86,163.52,137.24
34,171.46,168.92,5.85,166.15,165.28,165.91,172.48,159.53,168.28,116.51
35,175.15,169.75,8.42,168.68,163.74,164.43,168.55,158.63,170.77,108.5
36,174.94,173.75,7.91,173.92,166.5,170.28,163.74,163.92,173.17,115.23
37,176.43,175.71,7.13,176.76,168.73,167.0,165.93,160.39,174.68,146.79
38,173.42,173.54,7.8,179.22,172.91,165.68,168.69,158.15,175.11,164.1
39,175.85,179.49,0.24,176.19,178.2,149.48,167.83,145.75,177.04,172.88
40,169.65,176.01,12.25,178.06,179.11,137.15,169.61,135.09,176.25,173.55
41,142.66,166.64,85.99,177.92,177.16,101.06,167.5,102.41,173.93,173.5
42,157.69,149.36,122.49,179.26,179.93,77.76,166.76,81.92,171.65,175.22
43,167.46,170.8,141.01,176.3,179.33,77.74,167.22,85.46,170.3,173.63
44,173.37,170.49,146.7,174.68,179.32,81.74,170.21,89.29,169.04,168.27
45,165.16,172.94,147.94,173.63,179.17,89.86,175.18,95.69,168.24,159.1
46,157.02,171.96,146.43,170.87,176.05,56.66,172.0,63.03,171.59,142.59
47,140.72,82.42,126.85,169.62,172.01,49.65,174.23,58.98,173.88,127.1
48,143.01,157.9,7.75,169.14,169.99,62.17,171.46,75.29,173.72,116.46
49,18.5,125.36,7.24,168.23,168.2,69.12,169.45,81.2,174.29,115.91
50,66.25,165.5,12.78,170.81,170.9,68.6,176.53,80.68,170.54,123.88
51,89.62,180.0,6.73,167.27,167.54,1.23,146.03,69.82,169.27,140.89
52,121.09,179.96,8.12,167.41,179.24,88.38,152.59,6.89,168.96,158.15
53,125.89,159.13,12.86,168.9,174.35,156.5,163.44,99.77,169.22,165.98
54,128.55,170.89,15.69,168.21,176.44,149.7,149.66,77.84,170.74,172.24
55,139.3,174.95,15.37,171.14,179.6,86.89,164.65,54.1,170.95,176.51
56,140.6,171.68,15.43,174.04,178.83,77.56,168.28,41.34,173.39,177.4
57,139.51,171.58,15.14,176.27,178.82,70.92,166.35,35.66,173.88,179.74
58,131.69,173.06,17.57,179.49,179.19,63.12,170.59,31.36,174.26,176.29
59,134.81,173.01,16.53,179.51,179.76,80.61,162.41,24.86,173.01,175.55
60,139.24,177.83,15.11,177.82,177.4,121.07,164.81,17.61,169.1,170.98
61,136.81,179.9,10.29,179.47,176.46,128.78,167.25,16.34,163.04,166.67
62,125.86,174.46,12.75,178.62,176.39,129.36,171.37,13.16,159.4,167.45
63,128.56,156.88,8.28,177.89,175.1,105.49,162.71,10.74,156.6,169.42
64,130.7,173.56,9.98,176.73,173.34,101.35,166.16,7.65,154.75,172.21
65,129.91,175.11,8.82,175.53,169.86,113.07,169.29,7.63,154.58,172.1
66,133.6,169.83,8.95,171.97,167.14,101.37,177.9,6.29,155.89,170.7
67,132.29,173.98,9.33,175.17,155.21,109.33,178.01,6.86,155.88,166.31
