frame,rea,rwa,rsa,rha,rka,lea,lwa,lsa,lha,lka,
1,179.69,179.44,21.71,168.6,170.43,178.99,164.62,23.68,162.38,171.14,3
2,179.75,179.95,21.94,168.53,171.54,177.91,167.04,23.77,163.05,171.47,
3,178.68,179.97,21.54,167.81,171.84,171.85,172.98,23.44,163.95,171.99,
4,179.36,179.97,22.5,167.53,171.92,173.02,171.1,24.06,164.05,171.83,
5,179.09,179.5,22.5,167.35,171.88,175.15,164.64,23.89,163.74,170.91,
6,179.08,179.77,22.83,167.3,172,178.67,169.17,24.43,163.57,169.86,
7,179.44,179.53,23.17,167.13,171.87,177.07,170.63,24.27,163.25,169.14,
8,179.41,179.55,23.49,167.09,171.89,178.6,168.35,24.5,162.9,168.7,
9,179.04,178.21,24.19,166.31,170.36,176.18,166.85,23.53,163.05,168.72,
10,179.47,179.55,25.33,165.98,168.87,173.27,170,23.04,162.5,168.94,
11,177,177.03,26.24,167.8,169.17,170.38,176.03,24.05,160.89,170.03,
12,175.76,176.46,26.94,169.59,170.7,169.98,178.97,25.57,159.93,171.89,
13,176.69,177.34,26.4,171.2,172.17,169.79,179.47,26.82,161.46,175.57,
14,177.61,177.62,25.66,173.37,174.35,168.37,167.86,26.95,161.45,173.12,
15,177.51,176.98,25.67,174.7,175.24,163.68,160.34,25.5,160.89,165.24,
16,177.71,176.79,25.68,176.21,175.46,156.81,165.28,24.35,160.9,158.89,
17,177.51,176.04,25.82,176.04,173.02,162.52,164.41,24.49,162.99,155.17,
18,177.26,176.8,25.28,176.74,171.7,161.9,177.77,26.79,164.03,154.57,
19,174.5,175.53,25.73,176.7,171.54,165.2,176.74,28.02,164.92,159.42,
20,172.36,175.8,25.82,175.35,172.13,169.1,161.63,30.38,163.56,161.16,
21,168.3,177.93,28.52,169.5,168.98,178.38,168.32,32.97,163.57,161.94,
22,167.88,179.63,28.16,167.02,169.21,173.41,166.85,34.98,162.39,161.4,
23,166.45,179.21,28.77,163.67,171.65,178.7,159.47,34.45,162.86,161.15,
24,164.99,178.1,29.16,163.19,174.56,174.52,164.31,31.52,163.07,162.13,
25,161.1,174.7,31.52,163.19,173.7,173.81,179.63,31.79,160.41,159.88,
26,157.05,176.67,34.48,162.68,173.03,166.48,166.27,32,158.27,156.08,
