frame,rea,rwa,rsa,rha,rka,lea,lwa,lsa,lha,lka
1,117.94,159.57,14.83,178.95,176.34,33.91,167.29,25.19,154.88,149.48
2,119.26,160.25,15.1,179.4,176.01,7.86,80.29,26.57,155.18,147.11
3,120.89,162.44,15.3,179.09,175.06,0.68,101.96,29.4,156.32,146.8
4,123.0,165.01,14.86,177.85,172.02,3.39,169.41,32.43,158.17,147.91
5,126.51,168.43,13.75,175.6,166.46,20.44,161.94,35.51,162.54,153.02
6,134.77,172.68,14.01,173.01,160.42,26.26,58.78,34.54,166.89,156.74
7,139.99,173.12,13.63,173.34,156.86,46.32,136.82,28.73,168.79,159.48
8,143.42,172.78,15.6,168.55,147.26,44.59,80.23,29.68,168.14,159.05
9,145.15,171.55,19.44,162.59,138.45,40.56,42.17,27.41,168.71,159.06
10,144.17,173.5,21.86,159.26,132.84,123.18,140.29,11.35,170.05,159.97
11,140.57,163.87,24.37,154.6,131.32,99.16,30.05,16.52,170.4,164.3
12,138.76,158.62,29.24,147.24,129.14,100.02,17.16,20.09,170.78,163.27
13,135.03,158.69,30.18,141.71,130.77,130.0,139.85,0.78,170.9,161.14
14,130.45,157.24,33.95,138.47,134.86,137.47,161.98,1.29,171.27,159.55
15,132.85,161.63,38.12,137.81,139.88,44.98,83.3,3.87,173.15,158.73
16,133.38,161.06,43.17,141.55,152.92,49.93,126.43,26.62,174.85,158.88
17,138.04,148.19,50.65,144.46,162.15,58.13,179.36,39.13,177.12,159.96
18,144.6,165.58,55.15,146.1,162.9,85.34,118.64,12.25,179.86,161.13
19,153.28,169.86,62.19,147.18,164.02,42.45,108.01,54.65,178.09,160.0
20,165.14,172.46,67.11,148.81,162.1,48.43,97.01,55.31,175.45,160.07
21,155.09,170.0,78.43,147.49,157.42,166.04,151.0,155.29,173.8,159.54
22,175.56,177.4,85.97,144.38,154.26,147.82,51.43,133.74,173.91,159.23
23,174.75,174.13,90.76,143.61,155.03,127.63,154.63,153.86,173.55,160.58
24,175.83,164.33,98.55,142.31,154.01,131.74,157.19,112.35,175.13,162.6
25,174.11,161.2,104.91,141.86,153.69,141.32,175.63,101.75,174.22,165.97
26,166.72,173.04,100.17,142.73,155.28,140.93,177.06,97.28,173.85,167.96
27,172.87,177.15,103.12,142.44,155.21,143.63,177.15,96.25,173.36,169.63
28,169.93,170.01,101.4,142.87,155.62,146.13,164.05,93.03,174.22,169.04
29,170.51,166.4,99.53,144.07,156.66,146.15,171.53,91.79,173.5,169.76
30,168.86,165.47,96.29,144.27,155.98,145.45,169.29,90.37,174.43,168.48
31,168.79,139.33,91.53,145.14,157.31,136.06,143.8,84.38,175.16,166.62
32,170.37,160.95,78.36,146.26,158.42,144.61,140.3,79.57,176.21,164.73
33,163.15,153.42,66.43,146.97,158.96,106.2,103.25,67.23,176.82,163.83
34,163.88,160.6,57.88,147.04,158.74,138.64,128.66,64.23,178.27,161.38
35,171.34,167.9,52.78,148.14,159.84,164.75,172.12,53.0,179.76,158.61
36,172.7,167.45,42.58,149.43,161.14,167.18,177.76,36.86,179.96,157.65
37,165.28,177.72,29.39,150.44,161.96,177.23,175.42,29.56,179.94,158.65
38,166.68,171.47,21.85,152.56,161.97,130.05,157.52,17.87,179.56,159.45
39,163.45,175.98,13.67,154.92,164.22,137.5,179.76,17.37,179.79,162.06
40,166.27,170.91,9.13,157.52,166.28,134.43,178.68,14.11,177.83,166.62
41,171.13,177.65,5.78,157.3,165.86,137.18,164.38,15.65,178.42,166.65
42,171.38,175.73,2.98,156.69,165.88,130.76,164.08,18.6,178.97,166.1
43,172.22,174.86,0.59,159.19,168.45,131.86,150.99,15.28,179.3,165.56
44,174.92,169.18,2.66,161.4,171.53,140.44,165.07,11.94,179.95,164.56
45,179.13,172.67,4.42,162.5,174.3,147.72,170.15,8.57,178.34,165.04
46,179.99,170.14,5.18,163.59,176.82,162.25,176.73,5.79,178.06,165.41
47,179.13,165.85,8.27,165.73,178.38,158.37,170.33,0.41,179.89,167.41
48,178.06,167.73,8.45,166.32,178.4,132.84,161.52,3.81,179.61,169.05
49,173.07,167.24,10.78,165.95,178.74,111.22,169.43,4.88,179.27,171.04
50,171.88,168.78,10.31,166.0,178.93,84.22,147.37,6.48,178.44,170.8
51,172.58,168.41,8.61,165.96,176.58,51.53,107.0,6.25,175.82,168.43
52,171.58,167.57,6.86,165.05,173.66,58.59,39.88,4.69,172.54,166.37
53,169.05,169.09,6.42,164.36,169.32,55.79,177.67,12.42,171.43,165.82
54,170.32,171.33,4.3,164.72,166.25,63.01,160.16,11.76,172.28,165.85
55,171.99,172.27,2.17,165.34,161.98,53.27,169.96,10.19,173.41,169.03
56,171.11,172.38,2.28,168.06,160.62,129.31,160.89,6.8,174.46,170.13
57,169.44,171.77,1.81,168.49,157.39,49.16,177.23,7.11,174.36,170.41
