frame,rea,rwa,rsa,rha,rka,lea,lwa,lsa,lha,lka,
1,125.16,162.12,8.89,179.54,178.63,80.05,106.57,32.9,146.79,137.23,2
2,121.8,159.36,8.83,178.99,178.37,63.15,88.64,29.97,150.11,137.18,
3,119.84,159.19,8.48,178.21,178.52,1.95,17.42,30.17,151.01,135.89,
4,118.88,159.03,7.25,179.49,175.11,42.33,44.27,28.63,161.85,147.58,
5,118.88,158.01,6.23,176.88,167.25,31.92,122.15,24.21,165.64,150.92,
6,121.25,163.07,4.65,172.22,157.93,114.05,175.31,18.97,169.83,157.8,
7,123.47,163.52,2.83,168.8,149.99,136.77,175.54,8.47,171.51,164.15,
8,124.95,164.98,2.09,163.08,138.94,155.97,155.23,0.69,171.05,164.48,
9,127.62,166.96,1.64,158.77,131.47,159.86,172.89,3.66,168.59,161.43,
10,127.85,167.2,1.11,152.14,127.08,160.17,173.2,3.85,168.7,162.54,
11,126.83,164.18,2.41,148.74,130.78,168.31,175.93,3.68,168.28,161.77,
12,127.41,167.89,2.92,145.18,134.19,171.1,178.59,2.77,169.76,161.42,
13,124.73,167.1,2.64,145.02,141.94,156.4,168.3,0.69,171.27,160.79,
14,121.57,164.94,3.25,145.25,151.07,166.76,178.41,0.12,172.24,159.93,
15,119.68,161.23,3.83,146.69,160.14,167.75,172.9,2.29,174.5,160.64,
16,118.91,159.65,4.2,148.05,165.83,169.16,172.71,0.29,176.65,161.46,
17,119.39,157.81,4.33,153.35,169.98,167.85,178.17,1.2,179.8,163.06,
18,122.3,155.93,6.36,154.86,169.01,171.22,166.19,1.07,176.88,166.03,
19,129.29,158.37,9.71,154.1,167.28,172.1,178.61,3.1,173.66,168.98,
20,140.53,165.83,13.35,149.92,159.96,168.97,179.59,6.4,172.7,169.44,
21,149.92,168.52,18.43,148.4,156.44,2.99,3.56,2.9,170.59,170.24,
22,157.04,167.99,25.65,144.89,152.58,158.36,169.46,161.79,172.25,167.85,
23,159.76,151.48,35.53,143.65,151.65,148.32,159.87,154.3,171.76,167.57,
24,169.07,158,50.52,141.3,149.14,145.06,166.55,150.11,172.19,167.54,
25,174.47,156.85,66.03,141.1,148.71,132.62,166.47,138.35,171.79,168.1,
26,171.38,170.46,84.14,141.13,148.43,140.48,163.79,141.14,171.87,168.83,
27,136.06,168.99,83.16,140.44,147.77,131.72,160.48,134.61,171.4,169.56,
28,105.3,153.36,83.43,140.24,147.85,125.26,158.88,128.4,172.8,168.63,
29,88.07,146.5,83.18,139.25,147.18,117.18,158.03,123.36,172.61,169.15,
30,80.59,159.52,83.64,140.57,148.64,116.17,156.41,122.37,173.49,168.3,
31,78.24,159.82,84.79,142.88,151.46,116.9,159.11,121.16,173.15,168.88,
32,74.56,156.24,83.46,143.9,152.66,106.76,158.84,112.8,173.7,168.57,
33,70.48,155.16,79.26,144.97,153.73,107.49,161.06,112.03,173.7,168.55,
34,65.46,156.17,74.78,145.53,153.96,107.47,159,113.41,174.17,167.76,
35,64.5,156.29,72.37,146.12,153.82,109.33,159.74,115.4,174.88,167.14,
36,63.8,157.85,69,146.09,153.56,116.64,159.85,122.19,175.66,166.23,
37,63.63,162.96,67,146.02,153.36,114.83,160.01,120.64,176.02,165.87,
38,55.57,161.56,57.12,147.02,154.35,107.63,168.29,113.92,176.22,165.27,
39,59.14,159.2,47.15,149.65,156.41,92.86,172.93,100.83,175.94,164.22,
40,57.4,153.02,37.29,150.7,156.4,70.81,170.51,83.76,175.72,163.04,
41,57.45,161.63,31.29,151.44,156.66,76.95,164.19,78,176.62,162.77,
42,66.89,154.28,26.07,151.92,156.44,22.08,142.66,62.82,177.97,161.99,
43,82.18,157.97,19.52,152.43,156.62,54.7,48.94,44.48,179.65,159.4,
44,86.97,165.34,15.02,152.9,157.73,98.92,53.22,12.38,178.66,158.17,
45,102.01,177.52,11.4,154.74,162.16,128.93,173.34,0.44,178.56,159.25,
46,112.1,167.13,8.45,157.6,168.91,112.63,177.51,0.18,177.31,159.18,
47,119.21,174.61,5.61,159.03,174.62,124.37,176.25,3.57,175.43,160.03,
48,122.12,173.1,3.85,159.97,178.76,133.98,179.32,5.85,172.87,159.79,
49,121,170.59,2.06,160.26,177.89,137.36,161.97,5.53,172.07,161.28,
50,121.6,168.64,2.21,156.42,167.48,129.5,173.38,7,170.08,160.04,
51,122.18,171,1.15,153.86,157.76,142.98,172.68,2.2,168.46,158.23,
52,123.27,168.39,0.68,154.09,148.2,154.63,178.51,0.04,165.51,155.64,
53,125.11,167.67,0.81,156.01,143,157.84,167.33,0.1,163.22,154.53,
54,128.17,174.31,1.05,159.15,140.08,156.26,179.38,0.5,165.54,160.04,
55,128.49,174.89,0.5,166.59,146.85,151.88,177.64,1.95,165.91,160.32,
56,126.22,163.07,0.52,171.21,151.1,154.81,173.75,1.97,167.73,161.07,
57,124.19,157.77,0.47,174.31,151.45,156.57,173.43,2.14,169.43,165.29,
58,124.9,158.54,0.82,177.47,157.71,131.5,171.66,7.48,170.9,169.14,
59,123.35,157.67,1.16,179.8,164.12,104.25,127.75,13.1,171.01,170.38,
60,123.78,159.63,2.03,177.3,171.8,119.81,137.37,16.08,168.43,166.23,
61,123.13,159.97,3.02,176.16,175.07,72.82,104.86,18.61,161.74,157.59,
62,125.57,160.79,4.79,175.92,176.28,28.58,145.94,29.6,156.7,149.27,
63,126.05,163.56,6.85,177.22,176.96,61.48,138.02,20.44,148.7,139.71,
64,122.4,160.91,7.51,177.7,175.78,141.02,70.17,17.69,144.56,135.73,
