frame,rea,rwa,rsa,rha,rka,lea,lwa,lsa,lha,lka
1,176.55,179.23,18.88,174.71,177.37,161.32,176.38,24.49,169.51,175.7
2,178.44,177.85,20.11,173.96,176.69,158.37,178.15,24.27,167.76,173.34
3,179.48,178.35,21.45,172.83,175.49,153.36,176.65,24.0,166.09,172.29
4,179.67,175.64,21.96,172.66,174.91,149.86,175.56,23.97,163.5,170.81
5,179.74,175.11,22.18,172.13,173.74,150.03,176.23,23.71,161.42,171.57
6,179.22,175.4,21.54,170.99,172.51,150.49,178.87,23.34,161.49,174.09
7,179.36,175.63,21.82,169.32,170.94,150.6,177.82,23.16,162.25,176.42
8,179.62,176.34,22.21,168.12,170.68,154.54,175.6,23.07,161.59,175.14
9,179.75,175.28,23.41,166.51,170.27,155.15,171.38,23.05,161.06,172.3
10,179.77,176.14,24.16,165.86,170.44,162.45,171.95,25.98,160.66,168.97
11,179.57,178.69,24.88,165.75,171.06,160.89,164.1,27.22,160.29,167.12
12,178.79,178.42,25.78,165.31,171.25,161.73,166.46,27.5,159.36,164.46
13,178.88,179.73,26.31,165.64,172.0,165.6,170.09,28.53,158.18,161.12
14,178.23,178.74,26.75,166.04,173.37,168.21,176.91,29.17,158.02,160.11
15,178.1,178.21,27.37,165.95,173.72,167.84,178.43,28.74,157.89,159.51
16,178.53,177.36,27.35,165.21,172.87,165.35,178.51,28.43,157.9,159.09
17,178.59,176.21,27.36,165.44,172.81,164.93,178.14,28.21,157.29,159.51
18,177.81,178.74,28.85,165.32,171.72,165.57,179.32,27.97,157.98,160.95
19,177.52,179.94,30.15,164.63,170.27,167.92,172.91,27.81,155.64,159.47
20,176.68,177.88,31.36,166.46,170.55,167.23,173.39,28.9,155.09,164.81
21,176.47,175.59,31.68,168.72,171.59,171.4,168.9,30.41,157.5,173.1
22,177.21,175.64,31.02,171.23,173.21,165.27,167.61,28.51,158.92,174.95
23,177.73,175.32,30.19,173.87,175.14,157.89,165.81,28.85,157.74,165.9
24,178.7,174.24,29.05,175.9,175.56,158.56,165.7,28.82,157.86,158.96
25,179.4,177.47,28.35,176.71,174.84,151.8,164.67,25.74,158.79,154.27
26,179.68,176.06,28.04,177.4,173.3,150.34,165.74,26.06,160.99,149.29
27,177.4,178.44,28.28,177.62,169.38,152.89,170.01,26.66,161.3,149.17
28,175.02,178.85,29.25,176.69,169.97,156.0,176.28,32.0,163.6,156.35
29,170.84,179.57,31.26,172.86,168.04,166.74,169.54,35.45,163.06,160.07
30,166.86,176.44,33.47,167.39,166.97,173.34,177.76,36.35,163.94,162.55
31,162.44,176.97,36.37,163.94,168.3,173.04,174.4,41.64,163.38,163.67
32,161.98,173.0,38.7,162.83,171.41,166.6,172.93,45.43,162.27,164.89
33,158.73,172.85,41.59,162.96,173.79,169.35,164.06,46.12,160.24,163.86
34,154.93,174.48,47.33,161.66,173.61,177.63,158.06,45.39,159.27,165.02
35,152.29,175.83,53.56,159.81,170.87,163.1,167.43,42.62,159.68,170.96
36,148.51,169.63,60.07,159.21,169.26,159.47,162.5,41.19,158.2,174.74
37,148.73,170.81,65.24,157.27,164.72,153.83,176.53,41.97,155.16,175.35
38,149.36,167.88,72.55,157.55,163.36,157.02,177.35,44.89,156.77,168.03
39,152.77,165.44,82.67,156.39,161.39,171.85,174.95,49.73,156.31,159.15
40,173.31,174.7,87.11,154.52,158.76,170.99,174.37,47.17,155.43,160.26
41,179.38,165.77,94.61,152.36,157.89,173.67,174.08,48.47,156.25,171.47
42,171.8,169.75,98.73,151.21,157.33,170.88,176.81,47.32,156.66,175.81
43,166.51,171.28,100.47,150.75,156.31,171.01,176.56,48.49,157.53,175.35
44,173.06,173.08,102.41,150.7,156.23,171.59,177.4,48.99,158.23,174.12
45,177.1,164.34,100.96,151.05,156.97,168.3,178.75,47.46,158.3,172.26
46,175.69,140.31,97.6,151.95,157.75,167.49,177.14,46.69,157.99,172.69
47,170.97,145.36,84.53,152.52,158.3,161.37,177.19,41.58,158.24,173.86
48,169.6,173.32,70.7,154.06,159.92,159.41,178.21,38.62,158.57,173.88
49,171.01,178.61,60.93,154.85,161.11,159.8,176.87,36.58,158.8,175.09
50,178.59,172.39,48.17,157.44,161.51,156.22,176.22,33.3,157.29,175.98
51,179.8,173.41,40.18,159.13,162.78,156.9,174.76,31.55,155.43,179.16
52,179.7,179.22,35.36,158.85,164.51,158.89,174.22,30.83,153.61,170.4
53,179.58,179.66,32.12,159.5,167.15,164.65,169.4,32.16,152.92,165.06
54,177.93,179.68,29.7,160.98,171.34,163.64,166.18,30.22,154.44,164.05
55,179.96,178.55,26.93,161.48,175.74,163.19,168.57,27.98,157.44,164.76
56,174.01,178.61,21.41,163.46,179.95,158.56,175.18,25.89,159.56,165.93
57,170.98,179.27,18.46,164.19,179.83,153.14,178.71,25.35,161.46,165.83
58,171.55,179.96,17.66,164.81,176.25,144.96,172.42,25.35,162.39,165.38
59,173.74,178.17,17.38,166.23,171.91,139.61,158.57,30.63,162.43,165.64
60,175.55,175.94,18.35,166.09,169.13,121.03,150.35,29.75,164.31,168.65
61,175.34,177.0,17.13,167.58,164.27,132.4,177.3,29.23,166.39,171.07
62,176.79,178.41,18.06,168.83,163.3,144.82,178.04,27.31,169.31,173.84
63,174.91,176.92,17.12,171.86,164.44,151.54,176.15,24.99,170.33,175.16
64,174.78,177.72,17.76,174.19,169.03,146.54,178.29,23.67,171.85,178.26
65,174.75,176.9,18.52,174.33,172.6,134.45,179.23,23.49,171.98,179.21
66,174.25,176.94,19.26,174.91,176.26,144.32,179.55,24.08,170.89,178.42
67,174.46,177.63,20.46,173.57,176.4,146.35,177.78,24.0,170.56,178.83
68,175.05,177.9,20.99,173.14,175.88,140.76,173.95,22.09,167.47,177.35
69,175.6,177.59,21.11,172.75,175.12,151.82,177.99,23.54,163.58,172.79
