frame,rea,rwa,rsa,rha,rka,lea,lwa,lsa,lha,lka
1,159.98,172.8,17.25,164.11,171.18,124.15,166.59,22.15,166.36,167.17
2,158.86,172.55,17.18,164.42,171.33,121.73,162.72,21.81,168.33,170.08
3,155.81,172.84,15.16,164.66,172.25,121.82,160.22,22.76,171.87,167.13
4,157.26,170.89,14.53,164.46,173.22,120.02,158.35,23.25,173.98,166.85
5,157.06,174.79,12.91,164.17,172.5,120.06,159.0,23.76,177.7,165.54
6,155.11,177.89,11.78,162.44,170.53,118.46,158.76,24.19,179.54,165.14
7,153.91,177.95,12.1,158.6,167.5,118.75,159.3,23.48,177.34,167.13
8,154.72,177.46,11.5,156.58,164.38,117.1,159.28,23.52,173.61,170.38
9,154.48,178.62,11.7,153.77,160.56,114.35,158.76,23.96,171.99,171.03
10,155.01,176.46,12.3,150.92,156.22,106.22,152.25,25.3,169.31,173.61
11,154.43,179.94,13.66,145.2,150.48,110.05,162.95,23.87,169.41,173.87
12,153.36,179.71,15.42,138.4,142.2,108.32,161.18,21.88,167.63,175.44
13,153.31,178.49,17.62,131.61,134.71,107.26,161.11,22.28,168.65,172.22
14,155.24,176.92,20.82,126.33,129.2,102.49,156.98,21.91,170.88,169.21
15,157.65,179.29,23.03,122.04,123.57,93.03,144.07,20.79,171.82,166.93
16,154.46,170.96,21.63,122.48,123.85,93.51,145.03,19.8,171.4,167.42
17,156.26,173.76,24.36,122.5,122.78,92.29,153.32,20.32,169.21,169.1
18,158.82,174.81,25.14,130.17,127.46,98.23,154.57,18.82,167.15,170.14
19,156.79,167.85,22.37,139.72,133.36,77.22,125.78,16.9,163.08,168.72
20,154.51,168.55,20.31,149.54,140.0,74.38,128.28,17.43,162.8,170.6
21,153.15,167.59,20.81,154.13,143.88,78.32,137.61,17.01,169.06,168.45
22,154.57,169.07,22.79,157.27,144.75,74.76,139.49,17.87,173.21,169.58
23,153.07,168.88,24.18,156.86,142.24,65.71,130.89,21.75,174.64,173.41
24,146.97,179.04,25.73,154.25,138.66,62.62,131.87,25.36,177.4,170.96
25,144.25,175.13,28.69,149.12,136.7,61.1,127.92,31.62,179.92,168.23
26,147.62,178.55,33.57,143.44,137.61,61.85,134.86,36.43,179.21,165.19
27,145.0,167.21,35.88,138.05,141.77,60.06,128.7,38.76,177.66,165.42
28,140.6,175.62,37.66,139.18,152.38,59.2,123.94,42.11,173.94,166.84
29,139.16,179.01,38.43,140.82,163.58,53.81,117.75,42.12,173.0,165.16
30,135.2,177.15,38.16,141.18,169.99,59.98,113.64,40.11,172.38,162.0
31,136.52,179.48,40.25,139.51,169.53,79.1,122.67,42.4,167.89,161.48
32,141.56,176.66,44.72,141.7,169.67,137.21,170.48,44.14,166.81,157.89
33,144.45,176.94,48.45,136.94,159.64,167.34,162.69,49.87,168.35,150.27
34,143.84,149.38,54.94,129.26,149.06,172.79,155.69,51.41,166.75,146.26
35,149.18,153.54,63.93,124.66,141.84,160.6,171.76,51.69,169.05,140.12
36,147.74,176.74,67.32,123.22,135.45,149.45,175.88,51.3,171.11,136.02
37,134.61,170.39,71.94,121.4,132.41,150.16,171.8,49.56,174.68,132.76
38,119.22,176.46,75.68,120.08,130.81,149.82,170.12,48.73,178.09,128.43
39,114.42,175.38,75.22,121.1,131.32,167.67,171.82,57.0,179.83,127.6
40,107.28,171.79,74.98,122.41,132.11,159.9,176.9,57.37,177.71,124.89
41,101.38,173.88,72.39,122.85,133.56,163.32,175.32,63.85,175.26,122.9
42,95.53,178.02,64.56,122.86,134.37,165.62,164.27,65.35,173.19,122.01
43,94.73,170.75,54.39,126.99,139.04,157.97,165.5,55.42,171.52,122.05
44,117.2,174.53,44.44,131.48,143.35,160.69,171.53,49.99,171.66,123.8
45,138.99,177.64,40.54,134.29,147.05,167.03,162.91,50.16,170.61,127.5
46,150.66,177.02,29.66,135.94,148.76,176.75,167.01,50.65,170.54,131.49
47,155.38,179.3,21.76,138.22,152.31,175.74,170.14,45.54,170.58,135.85
48,160.44,175.76,16.36,142.47,156.5,175.37,166.45,41.88,171.27,141.91
49,162.2,178.65,11.32,146.97,160.28,176.08,160.6,42.48,174.15,148.31
50,165.95,173.5,4.74,152.03,164.24,171.89,151.19,42.49,175.71,149.74
51,92.69,147.37,3.49,156.55,170.15,152.13,163.55,42.9,179.45,154.03
52,79.95,159.14,8.18,157.63,172.83,137.08,176.95,41.83,179.67,156.58
53,86.44,161.08,12.85,158.91,177.81,126.78,179.64,40.68,179.02,159.07
54,90.72,172.19,12.61,160.76,178.63,115.11,173.16,40.62,179.64,158.94
55,85.71,176.42,10.74,162.0,176.26,109.62,171.19,38.38,178.35,160.1
56,85.52,163.62,5.7,163.54,176.55,105.88,168.36,36.6,178.42,162.14
57,100.52,178.77,1.7,162.54,178.65,103.65,163.09,33.52,177.87,163.84
58,107.74,179.28,8.55,163.65,172.77,100.04,157.24,32.57,178.0,166.19
59,105.17,164.42,6.41,164.32,169.33,104.71,166.06,29.71,177.35,167.68
60,102.95,168.93,0.38,164.03,165.31,109.65,169.32,27.6,178.41,169.92
61,95.77,170.96,2.04,164.42,160.5,114.69,164.91,25.46,178.64,171.4
62,96.86,161.4,3.78,165.56,156.83,126.41,165.59,22.05,178.3,172.69
63,97.26,161.38,2.41,167.89,156.71,136.52,167.02,19.99,179.34,173.92
