frame,rea,rwa,rsa,rha,rka,lea,lwa,lsa,lha,lka
1,161.16,174.18,36.19,88.77,119.15,176.97,172.57,22.33,131.1,143.97
2,154.92,162.1,46.41,111.05,150.74,178.07,51.72,36.77,146.65,156.95
3,173.33,162.54,29.16,124.99,160.76,175.9,151.59,32.54,151.03,160.29
4,178.3,157.1,25.5,135.29,172.73,175.45,17.7,15.22,151.08,158.76
5,173.94,11.45,27.2,139.1,173.59,145.84,175.33,17.87,158.02,160.89
6,172.83,22.65,27.15,140.53,174.76,154.23,167.63,12.76,161.26,161.73
7,168.58,36.27,27.03,145.68,173.23,132.68,178.27,9.79,167.09,162.72
8,15.13,146.71,25.83,148.58,173.04,127.76,177.18,6.23,172.61,164.84
9,158.63,137.5,36.74,147.45,167.26,144.38,164.41,19.75,176.11,165.41
10,108.37,150.71,59.27,146.04,161.56,150.63,161.83,17.11,177.9,165.01
11,175.75,148.1,71.76,146.87,160.93,152.07,175.59,14.9,179.85,166.07
12,169.41,162.42,78.61,148.01,161.22,156.35,172.79,15.54,177.37,168.01
13,163.65,162.16,80.31,149.13,161.93,159.71,176.4,14.88,174.9,170.02
14,157.03,158.85,81.33,150.0,162.66,161.93,174.47,15.31,172.56,172.13
15,152.67,164.7,80.04,150.73,163.48,163.62,176.76,15.62,171.12,172.79
16,155.2,165.98,83.09,149.96,162.88,163.31,174.57,17.16,170.57,172.42
17,142.99,178.64,78.4,149.59,163.02,162.29,174.21,18.51,170.24,172.12
18,119.96,159.39,65.35,151.73,164.8,159.36,173.46,19.99,169.08,171.86
19,126.31,145.67,56.85,153.74,166.87,160.86,174.87,19.67,168.98,170.37
20,137.73,152.08,42.17,153.8,166.15,161.27,176.14,18.75,169.62,169.58
21,134.49,179.71,29.96,151.57,163.66,160.15,175.05,17.25,169.81,168.46
22,150.18,175.47,21.6,149.09,161.11,157.71,175.29,16.64,170.9,166.12
23,162.16,168.08,15.24,150.59,162.0,156.3,176.23,16.42,170.91,164.01
24,161.57,178.33,9.46,151.36,161.85,154.23,173.79,16.02,169.15,163.7
25,161.13,176.37,4.71,151.9,162.68,146.58,170.56,14.49,169.75,163.7
26,161.34,173.32,1.58,152.74,168.32,142.02,171.81,15.4,171.78,163.43
27,164.34,179.92,1.05,153.18,172.34,143.59,178.23,15.0,173.24,164.29
28,161.55,179.11,1.42,154.62,176.79,152.97,171.56,12.69,177.27,163.69
29,160.9,175.5,3.27,155.42,178.85,151.32,179.29,11.36,178.57,164.13
30,159.68,179.01,3.91,152.66,173.19,154.01,174.26,8.18,179.1,163.42
31,159.02,176.19,4.59,152.94,168.32,159.96,167.53,8.1,178.71,164.77
32,155.83,173.59,5.05,153.02,163.03,164.62,168.34,5.16,176.65,168.01
33,155.23,175.96,5.77,154.04,160.72,170.18,162.68,1.78,178.31,168.75
34,154.18,174.92,5.59,155.87,160.08,171.42,172.9,2.09,177.72,170.22
35,155.42,178.55,4.86,159.0,161.92,159.67,171.62,6.41,175.17,170.75
36,157.85,179.25,3.51,162.42,162.58,167.81,179.52,1.59,175.34,172.96
37,159.63,178.36,1.69,163.69,164.65,163.29,179.27,3.34,175.36,172.3
38,158.17,175.53,0.28,162.84,166.8,158.23,178.46,6.34,177.06,170.67
39,157.13,173.23,0.09,163.22,166.5,153.91,172.94,2.66,178.95,169.27
40,152.41,177.4,0.83,160.14,162.32,150.33,177.12,1.97,179.74,166.56
41,152.14,176.27,0.4,156.46,158.69,152.74,176.46,2.22,179.09,163.17
42,151.56,170.95,0.33,151.72,151.85,151.0,166.16,2.83,175.9,163.03
