frame,rea,rwa,rsa,rha,rka,lea,lwa,lsa,lha,lka,
1,169.61,170.69,8.04,156.57,161.14,60.37,143.05,23.17,175.79,154.95,4
2,169.73,172.99,5.8,158.03,166.15,54.57,161.5,19.36,177.87,155.27,
3,164.48,176.13,0.1,161.47,176.81,42.04,166.79,13.44,179.44,159,
4,157,174.01,0.96,163.78,175.32,42.71,177.51,7.91,174.12,158.78,
5,154.68,160.65,0.1,163.6,174.83,37.12,171.48,2.2,168.12,158.42,
6,147.79,156.41,0.85,164.82,179.19,35.5,175.38,0.94,166.73,163.15,
7,139.77,167.26,1.79,165.28,174.22,36.37,179.68,3.64,168.54,170.06,
8,168.21,174.74,2.86,169.06,168.92,32.18,170.21,5.92,169.12,177.41,
9,144.95,169.12,2.63,170.2,168.92,28.84,164.51,4.25,168.65,177.27,
10,44.5,132.43,7.8,169.48,164.93,27.51,163.83,2.14,167.79,175.27,
11,97.99,124.25,11.06,166.68,160.43,27.93,165.2,3.03,166.62,168.53,
12,115,171.94,15.6,169.26,158.86,29.61,167.9,2.61,167.43,164.26,
13,115.04,170.13,18.09,166.67,152.76,31.21,167.58,2.75,166.41,157.35,
14,121,150.45,17.63,169.85,155.29,31.9,165.67,1.47,166.82,153.07,
15,124.38,145.04,18.22,171.19,149.46,32.9,163.76,2.22,170.96,159.42,
16,132.93,72.82,18.37,176.58,148.72,32.18,159.2,5.33,174.14,166.19,
17,138.43,177.55,18.06,179.19,150.85,31.03,160,6.62,172.71,167.82,
18,144.53,153.71,13.6,178.13,151.32,32.2,171.19,10.4,167.07,166.21,
19,157.43,179.9,10.52,174.5,156.83,33.79,164.47,15,167.07,171.32,
20,164.34,176.57,9,171.35,159.02,18.32,2.82,15.44,165.88,175.81,
21,160.77,175.02,10.15,173.71,157.68,29.87,161.69,20.47,162.72,170.89,
22,157.12,178.69,14.39,168.53,159.91,26.85,168.98,21.36,161.92,161.69,
23,153.52,177.62,18.14,165.83,161.05,26.85,170.54,25.13,159.53,153.8,
24,148.96,149.44,18.46,161.9,161.89,27.44,170.3,29.62,160.85,155.49,
25,138.32,143.99,19.98,159.54,164.7,27.6,169.42,32.84,160.11,157.74,
26,135.87,148.26,19.15,157.82,165.76,30.59,168.85,33.57,160.84,161.4,
27,129.24,162.46,19.06,160.69,165.15,23.38,175.73,32.56,157.27,161.73,
28,45.27,35.44,16.74,160.35,164.24,26.17,174.01,36.05,152.36,160.87,
29,0.69,4.31,19.19,161.69,161.62,30.75,172.6,41.39,149.06,162.86,
30,176.65,173.04,18.36,165.46,158.95,32.2,172.14,44.72,144.82,162.52,
31,150.68,150.36,26.93,168.61,155.39,52.74,171.37,64.88,140.66,153.15,
32,39.2,171.2,25.52,171.61,153.37,52.85,173.93,62.87,140.78,144.67,
33,15.87,160.33,26.42,172.16,153.08,51.13,178.81,60.75,143.7,135.44,
34,25.26,167.43,33.71,170.63,155.31,66.62,177.4,72.33,147.52,127.87,
