frame,rea,rwa,rsa,rha,rka,lea,lwa,lsa,lha,lka
1,158.0,170.73,13.57,164.34,171.03,130.52,161.03,22.46,164.59,167.17
2,158.65,172.53,14.02,165.77,170.65,129.54,163.87,23.56,167.55,169.92
3,156.66,175.83,13.04,167.06,172.42,128.77,164.47,24.58,170.85,166.9
4,151.3,177.1,12.22,168.82,175.97,128.3,164.05,24.92,172.19,162.18
5,153.24,178.78,12.86,166.66,174.19,128.51,163.84,24.24,175.59,162.49
6,152.91,177.01,13.66,163.61,171.74,127.35,164.6,24.09,176.86,160.84
7,153.49,176.98,14.26,161.2,169.33,125.84,164.47,23.38,178.43,161.61
8,154.7,172.97,14.04,158.33,165.22,125.01,162.53,22.47,178.27,163.83
9,155.61,174.04,13.72,154.41,158.84,119.55,157.4,21.38,176.68,165.55
10,156.57,176.97,14.2,150.02,152.76,118.29,157.28,20.16,174.77,168.42
11,158.06,177.13,15.78,146.39,146.89,113.13,153.87,21.01,173.51,170.08
12,157.23,176.74,17.04,141.5,140.65,111.49,151.31,19.68,173.92,169.67
13,158.04,177.12,19.37,136.34,134.83,107.98,148.55,19.41,175.08,168.54
14,155.34,171.46,19.63,133.4,131.87,107.92,149.17,18.09,175.44,167.0
15,153.19,171.29,19.74,135.07,132.1,108.47,149.63,18.49,174.11,167.9
16,156.59,173.25,22.32,137.14,132.59,106.24,154.37,18.98,174.68,167.05
17,160.46,160.27,23.91,141.56,135.87,107.97,162.93,19.33,169.46,171.98
18,155.84,168.17,21.68,146.02,139.07,95.24,145.05,21.7,168.84,166.89
19,153.23,176.17,19.15,151.74,143.51,88.15,130.1,21.08,171.27,166.17
20,152.52,179.93,19.41,155.37,145.72,89.7,131.29,22.07,174.99,164.04
21,150.5,177.48,20.38,157.5,145.41,91.94,141.69,24.79,178.46,166.05
22,147.15,174.94,20.8,156.37,142.03,95.36,144.16,26.3,179.71,167.53
23,146.99,172.75,22.17,153.1,137.3,97.83,146.05,30.02,178.17,164.97
24,143.67,170.43,22.95,147.79,134.57,97.07,143.89,33.15,178.81,162.41
25,143.17,169.78,26.78,141.07,135.16,97.01,147.41,36.09,179.13,161.56
26,140.4,177.03,29.65,137.2,141.4,101.17,152.41,38.54,175.9,163.88
27,129.91,163.19,30.62,139.04,153.82,99.16,150.25,41.88,172.37,166.03
28,124.36,178.33,32.71,142.25,166.28,116.01,158.52,40.95,170.17,165.19
29,121.02,139.27,36.54,141.88,171.46,94.62,159.0,39.5,167.55,165.61
30,126.86,177.55,6.32,151.01,171.65,146.7,135.85,45.03,172.5,163.82
31,150.67,166.35,39.61,166.93,156.96,135.05,140.34,43.78,141.64,167.34
32,152.3,170.5,45.88,146.01,163.91,163.21,179.58,16.48,170.5,175.63
33,163.44,176.7,44.79,168.45,155.55,141.2,143.2,48.53,160.68,145.68
34,164.87,176.8,42.97,166.95,147.42,142.38,148.67,50.33,129.07,139.24
35,143.42,163.66,40.54,143.28,140.71,122.33,152.18,45.07,166.68,126.06
36,155.13,133.71,48.3,130.81,135.67,162.01,107.96,10.78,174.79,137.66
37,152.34,151.49,79.54,124.01,134.55,179.74,165.57,49.0,172.3,139.0
38,150.2,85.66,89.91,123.58,136.04,163.34,165.18,60.64,174.42,138.06
39,142.37,63.13,96.01,125.64,138.94,166.37,155.55,67.82,177.02,134.46
40,132.45,177.1,96.01,124.25,137.24,164.6,151.16,75.04,178.41,132.47
41,125.2,169.73,95.45,125.13,138.05,164.92,152.59,77.37,179.3,131.57
42,153.81,148.34,78.27,129.98,134.26,124.62,90.21,93.85,173.93,135.72
43,175.3,157.22,80.02,132.78,117.05,110.5,177.74,83.97,174.46,135.15
44,136.61,170.43,64.93,131.49,132.91,79.01,44.54,60.03,171.28,132.31
45,92.49,177.77,43.08,123.63,136.87,144.13,157.04,60.24,179.87,131.97
46,96.4,158.94,35.36,125.18,139.2,163.87,143.58,59.62,178.43,131.67
47,117.58,172.32,27.38,126.87,140.27,170.36,160.53,54.25,179.99,133.2
48,130.58,176.73,19.94,129.7,143.69,145.76,178.88,50.22,178.65,136.35
49,133.5,139.25,13.49,133.01,148.28,132.5,174.83,46.42,179.21,140.6
50,145.51,177.95,5.01,141.4,159.0,114.87,170.58,43.55,179.29,143.85
51,161.21,179.47,4.0,149.49,171.5,109.17,165.08,39.66,177.82,149.83
52,162.21,177.29,3.82,154.26,179.08,107.12,158.93,34.51,176.64,156.49
53,165.95,170.14,6.05,156.19,179.67,106.59,156.67,31.3,177.08,160.64
54,164.7,168.61,6.7,156.55,172.18,107.79,161.48,29.59,177.45,163.73
55,163.94,169.57,8.99,147.3,149.57,108.78,163.31,28.46,176.15,166.5
56,163.66,170.65,6.6,148.36,151.02,111.81,169.84,24.63,179.7,166.54
57,162.36,169.09,4.7,149.82,146.33,112.16,168.97,24.27,178.86,168.01
58,164.74,167.92,5.46,153.2,143.97,114.35,166.31,23.81,176.77,169.18
59,164.46,179.07,7.42,154.92,143.51,115.89,170.43,23.92,175.38,169.73
60,166.03,179.59,7.61,164.99,150.5,119.17,169.45,22.93,176.64,171.47
61,164.14,179.23,7.47,170.58,157.44,118.69,166.65,24.45,174.86,167.34
62,164.13,178.49,10.08,173.52,170.96,120.02,164.26,24.37,172.67,164.16
63,163.06,179.57,11.11,172.43,174.64,119.03,160.9,23.88,169.64,165.12
64,160.65,177.96,12.59,170.18,175.61,115.43,157.12,23.99,167.97,167.27
