frame,rea,rwa,rsa,rha,rka,lea,lwa,lsa,lha,lka,
1,72.67,170.41,3.05,159.34,162.28,51.82,179.63,33.27,174.98,176.44,2
2,95.7,157.91,0.88,157.69,159.46,57.75,155.03,34.03,174.22,177.34,
3,104.52,141.4,0.08,156.02,157.88,63.65,144.69,34.08,172.65,178.22,
4,99.28,132.93,1.92,154.78,159.08,69.49,146.4,34.26,171.56,177.48,
5,57.31,147.19,11.05,153.99,162.46,82.58,156.81,32.63,171.05,177.11,
6,170.77,177.88,6.54,151.91,164.2,83.22,165.19,30.58,170.81,177.1,
7,168.15,174.44,4.44,148.19,164.82,78.74,165.52,28.15,170.02,175.58,
8,177.48,161.05,8.76,142.44,164.42,74.24,159.8,26,169.33,175.42,
9,164.98,154.03,19.54,137.28,160.81,71.59,157.9,22.86,169.39,175.13,
10,176.18,155.33,12.07,133.99,156.2,63.9,179.89,17.27,169,174.4,
11,173.36,159.33,12.48,129.9,148.24,56.78,175.07,11.53,166.68,175.01,
12,170.15,162.26,11.89,129.73,145.17,50.36,175.76,8.99,166.8,174.38,
13,172.1,165.68,12.42,132.63,144.84,48.8,158.13,6.16,165.77,172.55,
14,162.02,172.1,6.63,136.03,143.01,50.58,170.45,5.47,163.21,173.99,
15,157.88,167.9,3.53,140.31,143.41,43.61,173.8,3.32,162.01,177.35,
16,166.77,161.08,5,146.8,144.82,34.42,179.11,3.34,163.46,179.22,
17,166.64,174.36,9.44,148.75,144.82,41.69,176.94,1.31,166.22,178.14,
18,168.91,177.72,12.57,149.22,144.73,45.68,173.99,1.17,169.9,177.35,
19,168.96,173.18,12.88,144.59,139.51,43.39,178.39,1.35,173.01,176.75,
20,166.56,174.6,14.27,139.86,137.47,44.75,173.33,0.95,174.18,176.69,
21,162.05,174.16,15.61,139.89,142.16,41.93,169.94,3.43,171.13,178.45,
22,165.46,173.83,21.44,138.25,150.73,36.43,165.71,9.85,170.25,178.08,
23,163.33,172.13,25.4,133.15,155.35,34.24,171.14,16.42,169.53,174.37,
24,167.04,166.42,31.51,131.11,161.9,14.71,167.88,44.21,169.7,171.18,
25,166.96,171.79,38.02,128.06,162.18,105.66,170.25,59.44,170.84,167.13,
26,168.39,178.85,45.8,125.12,161.41,128.41,156.25,61.06,170.67,163.47,
27,173.57,162.6,53.68,116.94,151.23,144.05,136.85,70.59,167.89,159.1,
28,164.55,179.19,62.9,109.18,141.02,168.91,168.56,86.2,171.41,151.71,
29,148.16,161.9,68.43,99.89,131.38,140.51,161.59,72.91,175.81,144.36,
30,147.25,178.3,71.67,96.41,125.85,96.6,174.03,46.54,178.04,139.88,
31,144.68,178.57,67.66,99.25,126.38,174.61,111.28,43.53,179.64,138.62,
32,138.13,176.23,60.8,100.49,125.73,164.02,138.15,34.77,179.84,137.74,
33,138.88,145.61,51.38,103.02,125.86,164.68,164.29,34.82,176.29,139.18,
34,147.78,141.11,45.81,108.58,130.75,148.25,163.82,35.4,174.03,141.18,
35,149.77,163.78,39.35,114.76,136.6,118.61,167.97,30.51,173.25,148.31,
36,155.11,163.94,27.79,123.32,145.31,126.46,153.41,27.69,172.07,156.67,
37,156.83,169.81,19.31,131.42,155.26,120.6,103.77,33.76,172.47,162.9,
38,162.11,168.95,14.96,144.9,171.6,118.11,158.45,34.82,171.59,164.17,
39,166.81,167.14,13.71,148.76,175.67,113.95,164.11,32.87,171.95,168.82,
40,168.52,164.37,12.9,148.29,168.41,112.57,176.81,32.08,172.72,169.9,
41,170.19,163.67,12,147.39,159.29,109.64,167.48,31.31,172.26,170.65,
42,170.02,170.23,10.88,147.37,148.92,114.25,169.51,29.57,172.14,170.14,
43,169.26,173.6,10.01,146.82,145.92,122.14,172.26,29.21,171.73,168.82,
44,171.07,176.01,9.96,147.67,147.73,127.34,174.81,24.79,170.18,169.5,
45,170.77,175.91,9.04,147.72,149.99,129.38,171.55,20.69,167.22,170.9,
46,171.39,175.26,6.74,146.92,150.5,129.13,171.77,20.49,165.19,173.41,
47,172.13,177,5.28,146.03,150.29,131.9,170.42,21.18,163.6,175.8,
48,167.77,178.49,1.53,146.45,153.3,132.71,173.57,22.56,161.4,179.69,
49,168.15,176.27,0.31,147.26,157.91,131.17,173.55,23.71,160.15,179.47,
50,175.21,176.95,4.79,146.55,163.1,127.57,170.33,24.28,163.36,178.04,
51,179.73,174.1,9.47,146.26,170.93,130.06,174.53,24.15,164.76,177.63,
52,179.33,171.09,11.63,147.35,177.18,133.23,176.28,24.68,166.44,176.07,
53,175.27,166.72,10.31,148.98,179.03,130.05,178.46,26.43,167.81,175.66,
54,170.39,169.04,5.97,148.49,178.14,123.19,174.85,29.94,170.96,175.05,
55,164.21,176.68,2.11,149.43,175.6,120.56,177.38,32.16,172.05,174.62,
56,163.15,179.04,1.87,150.62,176.43,114.98,174.19,33.87,172.79,174.76,
57,164.25,179.15,3.87,150.34,178.93,108.79,167.96,37.62,173.52,174.63,
58,166.34,179.05,4.47,151.49,175.34,107.95,168.56,38.32,173.95,175.04,
59,172.7,175.1,6.58,153.7,171.53,107.55,167.48,38.9,174.15,176.13,
60,170.53,176.61,6.22,154.88,168.16,109.49,171.81,36.28,174.44,176.7,
61,170.02,178.58,6.29,157.24,164.8,106.55,165.3,34.54,174.65,176.74,
62,169.25,179.83,5.87,158.11,161.16,105.37,164.25,32.21,175.16,175.47,
63,168.38,179.59,7.81,157.42,157.15,98.78,163.12,31.43,174.3,175.54,
64,169.51,178.78,10.55,157.33,155.51,76.6,165.44,30.97,173.41,176.31,
