frame,rea,rwa,rsa,rha,rka,lea,lwa,lsa,lha,lka
1,179.62,174.34,15.91,164.91,164.52,119.18,165.4,26.77,171.55,173.72
2,179.64,179.51,17.56,156.04,155.71,104.86,155.18,31.12,173.71,176.38
3,179.58,179.28,20.05,148.43,153.68,103.82,153.12,38.06,176.02,179.59
4,176.44,175.52,22.62,145.39,156.33,124.9,174.05,24.79,176.74,178.54
5,179.55,173.51,24.17,139.89,157.63,116.97,173.73,26.32,174.78,179.02
6,178.74,178.3,28.04,137.66,164.77,91.77,111.54,50.03,173.12,179.38
7,174.63,178.65,31.19,139.47,172.95,7.19,141.93,64.14,167.83,175.24
8,174.13,176.46,34.69,140.78,179.0,105.95,172.66,72.12,165.15,173.9
9,174.69,175.09,39.71,140.9,179.82,67.13,139.36,76.0,162.64,174.05
10,168.47,175.08,46.0,139.36,169.93,112.3,140.57,73.69,157.91,172.99
11,170.42,166.49,50.41,130.36,156.45,145.14,133.9,72.01,158.76,177.38
12,179.49,167.67,52.03,122.93,140.36,164.08,162.86,70.62,157.7,179.08
13,163.45,168.33,60.79,113.5,126.78,176.09,177.9,69.45,157.74,176.43
14,159.86,175.09,69.76,106.0,118.99,167.4,149.77,59.71,159.73,173.37
15,161.32,173.26,79.02,99.12,110.13,166.85,148.12,54.36,160.39,173.91
16,163.13,178.0,85.47,99.9,110.1,176.56,146.91,54.62,162.17,172.93
17,164.66,167.71,87.74,102.68,112.47,168.88,152.18,50.23,164.46,171.96
18,169.53,162.85,88.7,105.77,114.88,161.46,157.03,49.01,168.41,167.71
19,173.89,155.12,86.76,111.58,122.95,160.93,163.6,42.58,172.29,166.56
20,171.16,179.16,77.6,115.47,125.48,153.04,167.45,40.02,175.48,164.19
21,176.2,166.34,64.61,121.63,130.66,145.39,174.25,39.44,177.75,164.2
22,177.8,170.09,53.79,127.8,136.08,139.83,179.28,39.62,179.41,165.34
23,177.02,173.74,41.22,128.36,137.63,137.23,173.94,35.91,179.6,167.09
24,178.08,178.51,31.37,132.43,139.73,133.06,173.08,33.39,179.1,165.44
25,176.86,173.12,21.72,140.64,147.21,119.44,162.58,31.06,178.6,164.53
26,172.29,175.59,12.69,148.17,155.03,114.95,172.99,27.51,174.79,166.22
27,172.2,177.26,8.8,153.34,161.49,118.18,154.63,24.74,175.13,164.14
28,173.91,178.76,6.66,152.14,163.96,77.3,149.32,22.7,178.54,160.1
29,167.74,179.08,4.13,149.68,165.29,78.69,166.84,21.14,176.17,156.79
30,167.52,179.49,3.2,149.04,163.04,88.4,169.06,18.27,172.55,157.21
31,166.31,178.75,2.65,147.78,155.9,100.93,175.62,16.58,170.1,157.57
32,166.76,179.49,2.56,149.72,149.53,102.31,172.34,18.25,168.26,156.4
33,165.92,176.79,2.91,151.41,146.65,61.96,139.86,17.3,165.98,155.8
34,165.27,177.4,3.67,148.89,134.98,34.66,56.23,16.16,164.59,156.06
35,165.04,175.67,4.19,154.11,136.53,68.15,72.97,14.48,165.09,158.03
36,164.85,173.44,4.61,163.76,141.4,156.05,159.33,14.44,165.06,157.63
37,164.48,174.72,5.28,166.83,139.13,138.42,170.06,16.3,166.17,163.29
38,162.74,173.87,7.38,167.72,143.3,95.51,86.34,18.94,160.81,162.74
39,159.86,176.77,7.87,171.31,152.75,109.52,168.95,21.24,160.95,164.34
40,156.52,173.77,7.83,172.34,160.44,150.9,166.72,18.13,158.74,164.29
41,155.61,170.41,8.69,171.83,163.84,157.23,170.41,17.36,159.36,164.3
42,154.58,171.7,7.55,171.23,165.94,149.33,179.9,15.54,161.85,163.28
43,154.87,173.81,6.5,170.14,166.27,150.81,177.76,19.57,166.76,168.55
44,155.25,176.35,5.8,168.15,164.69,139.13,52.61,20.23,166.41,160.94
45,157.58,176.22,5.81,167.96,164.32,169.99,151.13,17.86,167.47,155.57
46,156.64,174.49,3.8,166.63,166.5,133.13,153.3,12.5,168.17,151.21
47,155.64,179.94,3.48,163.47,165.04,137.2,156.25,10.9,168.8,148.53
48,155.64,178.2,1.71,162.26,162.66,127.31,67.47,5.51,171.07,147.69
49,153.89,176.62,1.06,157.93,159.97,142.58,165.71,5.88,175.42,154.83
50,154.77,176.11,0.2,154.56,157.55,119.75,99.4,2.19,178.42,161.64
51,156.2,175.57,0.06,149.95,153.06,134.61,171.3,3.0,179.22,166.27
