frame,rea,rwa,rsa,rha,rka,lea,lwa,lsa,lha,lka,
1,176,173.4,21.39,167.65,171.85,161.37,179.94,22.8,159.97,175.35,3
2,174.29,177.06,20.7,166.99,171.4,157.11,172.31,23.57,160.27,175.01,
3,175.76,179.53,21.82,166.38,170.67,149.31,165.74,22.16,160.32,174.1,
4,178.31,179.12,23.42,165.42,170.6,151.74,174.78,22.38,160.51,172.8,
5,179.08,179.04,24.4,163.53,169.58,157.92,165.88,24.37,159.87,168.52,
6,178.71,179.52,24.48,163.12,169.44,167.56,166.23,26.12,157.61,163.43,
7,179.19,179.85,25.84,160.35,167.91,172.51,169.37,27.83,157.24,159.69,
8,179.95,179.4,26.34,160.19,167.98,166.51,167.14,26.66,156.88,157.88,
9,179.98,179.02,26.64,159.94,168.09,163.51,164.37,26.95,156.08,156.96,
10,179.89,178.09,27.16,159.27,167.78,164.78,168.16,26.89,156.4,157.23,
11,179.33,178.05,26.84,159.98,168.44,168.55,178.2,27.25,156.57,158.98,
12,178.15,177.36,29.41,159.13,167.28,167.04,176.33,27.26,157.31,160.68,
13,177.11,177.93,30.42,159.93,167.02,172.26,176.34,29.92,155.85,162.31,
14,178.5,178.76,29.61,162.53,167.42,168.64,173.96,31.84,156.24,169.68,
15,177.04,177.7,29.46,166.54,169.67,157.82,170.7,29.63,157.34,174.73,
16,179,177,27.6,169.79,171.64,156.81,172.99,26.77,157.59,170.76,
17,179,177.27,26.99,173.63,174.46,157.81,168.32,27.78,156.4,164.24,
18,179.33,178.62,25.81,175.16,175.26,148.55,178.33,28.05,156.88,155.26,
19,178.91,177.33,24.53,176.42,173.93,146.49,177.91,27.23,157.73,146.8,
20,177.48,177.58,25.36,175.85,170.83,145.35,178.82,28.62,160.3,147.03,
21,174.72,177.62,26.01,174.46,172.12,151.97,175.87,33.18,162.24,151.62,
22,173.1,178.83,26.55,171.25,170.2,155.6,167.25,36.74,162.71,156.5,
23,169.67,177.55,28.52,166.99,170.04,164.73,149.52,40.61,161.95,157.06,
24,164.26,175.23,31.68,164.28,175.34,168.83,149.59,41.85,162.29,158.74,
25,159.57,175.55,34.51,162.34,175.13,167.06,140.79,44.62,162.26,160.11,
26,155.49,177.57,37.22,161.52,174.22,163.53,133.69,48.45,159.87,159.28,
27,151.47,179.19,41.27,160.46,172.32,162.86,138,51.59,158.61,159.03,
28,148.97,177.85,47.04,157.33,167.78,155.87,152.09,58.24,156.53,160.03,
29,149.37,177.2,53.66,156.33,165.94,154.89,156.41,61.02,155.63,164.72,
30,156.6,167.67,60.74,155.98,163.14,152.25,161.38,64.22,155.44,167,
31,176.58,176.63,65.15,154.62,161.75,154.52,168.67,62.23,155.38,170.56,
32,166.74,176.48,75.85,152.89,160.36,160.62,179.75,62.62,156.48,175.8,
33,171.91,151.98,95.17,151.68,159.9,167.39,178.61,64.37,157.28,178.95,
34,172.86,173.05,105.09,150.86,158.89,170.68,177.88,65.35,159.35,179.87,
35,173.49,175.42,111.84,150.56,158.74,172.54,174.65,67.03,160.89,176.22,
36,176.94,167.91,116.79,150.24,158.54,172.02,174.38,66.65,161.33,174.53,
37,169.42,169.83,115.35,149.61,157.54,169.24,173.64,63.99,162.31,173.88,
38,163.33,179.7,109.58,150.51,157.82,166.2,174.46,62.96,161.45,175.78,
39,152.1,155.9,103.06,151.49,158.76,159.69,179.54,57.46,161.24,164.77,
40,162.6,164.41,81.04,152.29,159.39,156.29,178.86,48.95,161.33,170.09,
41,169.25,169.52,62.09,153.12,160.56,161.53,174.18,47.42,160.92,167.19,
42,177.93,170.43,47.03,154.32,160.85,160.29,173.97,43.08,159.41,169.89,
43,179.72,175.6,37.59,156.37,162.98,158.66,176.31,38.71,157.32,179.12,
44,178.1,178.68,30.55,157.19,165.78,161.9,173.03,36.58,155.77,174.05,
45,179.82,177.89,27.44,159.14,171.04,165.02,170.6,34.33,157.15,173.75,
46,175.76,178.22,21.62,161.83,176.73,169.14,163.19,32.24,159.41,174,
47,173.63,179.09,18.09,163,179.47,167.28,165.78,29.51,160.76,171.66,
48,172.98,178.49,15.59,163.88,179.16,167.18,168.35,28.57,162.02,170.4,
49,172.74,177.84,14.37,164.37,178.6,169.68,170.76,29.3,163.15,170.43,
50,172.36,178.8,13.72,163.85,173.66,161.02,173.38,27.79,163.81,169.1,
51,173.03,176.26,13.56,162.87,167.75,165.21,175.99,28.39,165.17,169.82,
52,175.12,173.97,13.67,163.7,163.52,162.59,169.22,28.14,165.44,170.57,
53,174.93,174.82,13.79,163.73,159.08,159.17,167.2,27.2,167.09,171.01,
54,174.56,176.79,13.98,165.7,156.81,146.56,167.37,25.98,168.48,173.04,
55,173.89,177.81,14.25,168.88,158.41,138.61,164,23.91,169.45,174.6,
56,174.28,178.77,15.06,171.22,161.13,137.58,172.48,24.43,170.91,176.05,
57,175.04,178.66,16.08,173.71,165.66,144.9,177.23,24.5,171.59,175.75,
58,176.96,177.36,18.12,174,168.6,144.49,179.5,23.58,172.81,174.81,
59,176.03,174.91,18.98,174.51,172.8,146.23,179.29,22.63,173.35,173.36,
60,175.44,174.61,20.29,174.66,176.4,149.94,176.76,23.04,173.89,173.71,
