frame,rea,rwa,rsa,rha,rka,lea,lwa,lsa,lha,lka,
1,161.92,174.07,10.31,173.59,173.99,118.7,163.46,23.93,175.18,168.53,2
2,161.91,174.82,11.28,174.2,177.35,121.66,161.6,20.23,171.1,167.11,
3,162.46,172.72,13.41,171.06,176.86,120.45,159.03,19.15,168.51,167.57,
4,161.43,173.11,15.14,168.87,176.06,122.97,160.3,17.54,166.35,166.69,
5,159.55,172.78,14.36,167.01,172.8,123.96,161.53,17.12,166.19,167.24,
6,157.55,174.87,13.71,167.77,172.93,120.55,158.84,18.49,168.24,165.21,
7,158.02,176.63,14,167.06,172.7,120.6,157.77,18.13,172.48,164.94,
8,157.72,179.11,14.05,165.42,170.4,118.6,157.34,18.43,175.63,165.98,
9,157.41,178.86,13.86,162.86,167.1,120.72,156.95,17.06,178.76,166.59,
10,156.74,178.9,13.52,160.62,164.13,119.8,154.28,15.9,178.28,167.53,
11,156.2,178.59,13.57,157.67,160.31,122.77,154.69,13.54,175.76,167.24,
12,156.34,179.91,13.59,153.88,154.3,119.84,154.61,13.16,172.26,170.65,
13,156.03,179.84,15.94,147.88,147.6,114.86,156,16.61,172.82,170.38,
14,154.56,177.87,16.92,143.81,142.73,113.69,158.37,17.6,173.05,169.32,
15,156.39,179.44,19.19,139.86,137.38,112.95,159.92,17.73,174.04,167.8,
16,157.19,178.44,20.26,136.96,132.9,110.9,157.6,17.86,173.47,167.55,
17,158.07,173.18,20.47,136.22,131.52,109.41,157.54,19.16,171.75,168.46,
18,152.91,174.51,18.46,138.09,131.72,109.16,156.02,18.01,170.84,168.7,
19,157.94,177.19,21.49,141.44,133.71,108.95,157.14,19.48,172.13,166.83,
20,156.59,176.72,20.56,146.59,137.64,117.02,162.25,16.78,169.21,166.96,
21,154.41,172.01,17.83,153.84,143.36,110.61,151.7,18.73,169.11,166.91,
22,152.99,168.29,18.21,156.61,144.97,103.57,141.96,19.89,172.48,168.02,
23,151.73,170.42,19.28,159.55,146.62,104.44,140.82,20.75,175.02,168.47,
24,150.25,171.58,20.56,159.13,144.8,106.72,142.93,22.34,177.67,165.14,
25,148.38,176.56,23.52,155.15,138.81,105.58,140.6,21.64,179.54,167.63,
26,147.14,179.07,25.68,150.86,135.63,105.54,144.32,25.85,179.32,166.71,
27,144.06,176.74,28.27,144.98,135.99,103.63,138.92,27.47,179.2,163.33,
28,140.89,177.57,30.47,140.36,140.9,117.58,152.58,27.97,175.22,164.71,
29,137.64,179.02,31.09,139.21,149.67,130.4,164.11,29.59,173.51,167.63,
30,130.69,178.03,33.01,140.69,161.41,140.83,173.06,30.49,173.62,164.54,
31,130.64,176.98,37.26,141.53,169.52,149.11,174.46,31.48,175.48,158.75,
32,126.54,170.71,38.07,141.41,169.47,156.26,173.23,33.32,173.33,156.73,
33,125.68,162.68,39.96,143.11,168,159.98,172.73,37.37,170.89,153.07,
34,131.34,172.85,46.46,138.56,159.22,156.4,176.14,45.82,167.62,151.65,
35,133.42,151.9,50.34,134.16,151.24,162.39,178.57,44.77,168.75,145.84,
36,177.87,76.71,52.32,133.73,143.56,152.26,145.95,58.13,179.85,144.99,
37,141.05,153.7,54.17,127.96,139.08,159.4,170.97,19.72,173.08,140.16,
38,141.89,158.55,60.15,128.13,138.86,175.81,179.43,41.05,174.88,136.44,
39,140.99,168.77,65.07,127.7,138.56,168.42,173.76,49.71,175.01,134.83,
40,139.61,178.55,66.69,128.34,139.02,165.54,170.83,53.34,176.97,133.34,
41,178.42,117.33,58.7,134.51,137.02,154.1,179.66,81.14,173.49,135.84,
42,155.41,144.77,71.07,129.64,141.71,155.31,166.99,36.71,176.57,130.96,
43,134.52,163.75,67.52,128.54,142.89,179.6,166.17,53.34,176.28,129.05,
44,111.15,174.94,55.95,129.03,144.77,174.96,172.69,53.81,174.68,129.19,
45,98.11,149.09,46.56,130.01,145.8,168.12,174.17,54.77,173.95,131.31,
46,110.3,148.2,39.66,131.61,147.52,169.2,173.83,52.26,174.36,132.33,
47,135.22,164.86,35.21,132.2,147.54,171.66,165.87,50.14,175.55,135.79,
48,144.01,166.87,24.97,134.52,149.81,169.99,164.35,48.93,177.49,138.87,
49,149.01,172.78,18.08,137.96,152.91,152.06,170.48,42.97,176.3,140.22,
50,154.73,175.42,12.24,141.63,156.26,145.73,172.07,40.98,178.28,145.26,
51,157.36,179.78,6.66,147.84,164.08,151.12,177.57,30.6,177.21,151.76,
52,158.93,177.68,2.97,153.76,171.81,153.62,163.33,27.43,175.33,156.26,
53,160.97,179.76,1.36,158.05,178.45,132.28,176.52,32.51,176.62,158.89,
54,160.33,178.05,0.1,157.77,179.44,121.77,162.7,30.74,178.08,160.73,
55,164.47,178.79,1.06,157.86,173.68,114.69,161.4,29.74,179.62,160.81,
56,166.55,179.08,19.75,155.55,161.54,115.21,159.76,28.43,179.06,161.58,
57,167.74,174.65,27,157.34,154.35,111.78,161.1,30.29,179.89,165.37,
58,178.41,174.92,7.84,159.2,150.64,112.32,164.3,28.36,178.69,166.29,
59,166.33,176.61,1,158.78,147.14,111.92,163.15,27.37,176.9,166.8,
60,165.47,171.85,2.66,160.65,147.66,114.48,165.66,27.48,176.35,169.87,
61,165.45,173.78,4.09,166.06,150.46,119.84,167.68,25.33,172.89,165.45,
62,164.29,175.97,4.35,172.56,160.38,119.64,165.54,26.86,173.12,164.52,
63,166.48,173.18,7.5,174.71,167.72,123.49,164.89,25.44,173.11,166.32,
64,163.86,174.88,6.8,176.74,175.63,123.81,162.1,26.12,174.83,168.95,
