frame,rea,rwa,rsa,rha,rka,lea,lwa,lsa,lha,lka,
1,122.09,158.68,3.58,175.28,172.24,119.8,164.83,3.1,156.79,155.37,2
2,123.42,158.86,6.03,174.94,176.02,86,167.95,3.55,158.56,154.3,
3,122.89,160.9,7.37,173.95,179.96,25.8,162.84,16.12,156.57,150.6,
4,122.73,162.05,8.72,173.53,178.86,82.51,138.44,0.6,153.36,145.84,
5,120.26,162.62,8.6,174.48,179.99,142.26,174.36,3.43,147.65,139.25,
6,116.79,160.53,7.95,174.48,146.65,139.57,156.51,8.03,160.91,148.85,
7,116.47,159.08,7.46,173.74,176.85,139.98,178.93,8.18,149.36,131.41,
8,116.37,159.33,7.2,174.8,177.8,147.39,176.73,6.01,150.04,134.6,
9,116.87,159.82,6.62,178.12,162.86,67.92,177.06,4.26,153.15,139.86,
10,116.36,157.71,5.21,176.16,155.46,118.18,128.94,5.67,160.51,149.21,
11,114.03,160.09,4.52,172.89,146.95,70.88,22.82,10.9,167.93,160.39,
12,111.13,160.08,4.98,168.66,140.12,123.35,89.45,12.84,168.26,161,
13,106.82,157.24,6.52,161.34,133.21,172.48,139.61,2.78,168.89,162.33,
14,106.39,166.13,7.79,154.64,125.79,173.82,150.45,4.9,169.05,163.61,
15,103.11,165.09,9.65,151.06,129.02,174.37,169.23,5.99,168.08,162.63,
16,97.21,160.75,10.83,147.98,135.2,176.61,173.29,7.3,166.6,157.58,
17,96.2,157.88,15.2,144.03,143.04,160.77,175.96,11.11,165.45,154.23,
18,98.48,151.45,20.06,140.95,149.54,154.93,176.58,16.45,166,153.07,
19,101.61,154.11,23.35,141.95,158.91,156.87,174.29,14.27,168.02,153.44,
20,106.96,156.86,27.89,144.16,168.33,161.33,163.75,17.24,171.23,156.12,
21,110.56,157.43,30.58,146.88,172.49,165.7,167.24,16.47,174.41,158.59,
22,115.72,159.61,31.45,149.47,171.54,30.67,89.73,7.96,179.3,161.35,
23,126.81,150.28,34.98,149.47,170.66,160.89,167.19,164.45,176.08,165.27,
24,144.24,153.6,43.23,146.26,165.85,145.32,169.9,152.05,174.07,165.67,
25,162.3,153.55,52.3,143.43,158.39,120.81,164.69,133,172.87,166.57,
26,177.93,149.17,63.54,139.29,152.3,113.44,164.6,124.73,171.15,166.59,
27,163.42,152.9,82.51,135.84,148.2,100.42,160.35,113.1,169.68,167.37,
28,169.75,150.17,91.27,134.31,144.23,116.06,157.96,125.1,167.97,168.94,
29,171.59,160.67,95.89,130.85,140.67,116.32,156.06,117.91,167.65,171.16,
30,153.03,160.71,100.38,126.68,137.78,114.06,163.46,114.02,167.59,172.1,
31,137.54,169.11,108.22,123.55,134.77,118.58,165.94,117.58,166.58,174.88,
32,119.45,163.79,109.95,121.27,132.61,116.13,160.91,117.79,165.98,176.73,
33,93.08,154.18,96.14,119.98,131.41,115.13,156.94,117.71,166.4,176.31,
34,74.37,153.56,86.36,121.19,132.15,115.88,153.24,121.13,166.08,176.46,
35,64.13,155.12,80.43,121.71,132.42,119.85,155.82,123.5,166.87,174.52,
36,57.43,156.12,73.82,124.19,134.78,115.72,157.32,123.22,168.14,171.34,
37,51.56,155.64,66.37,125.91,136.73,114.62,159.31,122.68,169.27,168.96,
38,49.81,161.87,60.63,125.19,136.04,114.74,159.98,123.54,171.15,166.91,
39,48.23,164.34,55.17,126.25,137.06,114.12,164.32,121.67,172.22,165.69,
40,54.16,159.39,52.85,127.32,138.32,107.48,163.19,114.85,174.98,162.83,
41,62.54,161.01,42.97,129.57,140.26,90.71,155.3,101.68,177.68,160.1,
42,65.82,159.05,35.11,132.01,141.71,70.83,159.51,87.42,176.96,159.83,
43,66.41,160.27,29.41,134.66,143.39,57.99,162.29,78.18,177.01,159.38,
44,81.13,159.55,24.74,137.06,146.32,53.32,161.52,73.29,178.92,158.35,
45,96.32,172.12,20.74,138.83,147.75,6.82,43.94,35.58,179.35,157.7,
46,106.72,174.31,17.08,142.32,150.98,63.63,104.99,28.18,179.63,156.77,
47,115.44,179.54,14.4,146.93,156.34,93.42,42.41,41.07,179.49,156.27,
48,115.35,164.61,10.58,150.58,163.19,95.84,36.03,45.14,179.38,159.17,
49,114.18,156.88,9.9,152.12,170.29,132.78,10.87,39.61,175.63,160.34,
50,114.73,155.54,7.6,154.54,174.94,168.07,11.73,16.77,173.57,162.14,
51,118.84,157.77,6.43,156.35,176.57,152.91,153.35,4.39,173.03,162.85,
52,118.2,157.16,4.06,155.98,169.83,157,144.47,0.17,173.18,163.52,
53,122.02,159.41,4.27,154.82,160.81,128.74,179.25,5.76,170.24,160.61,
54,122.72,159.03,4,154.57,153.34,144.52,155.67,2.26,167.74,159.03,
55,121.36,158.85,3.73,153.76,148.84,153.5,178.69,0.54,165.86,157.44,
56,123.67,162.29,4.16,155.87,141.36,149.88,178.46,0.22,165.58,158.4,
57,123.76,159.8,5.01,158.76,141.16,153.88,172.52,1.31,165.78,159.94,
58,124.2,158.6,4.89,164.69,147.7,137.91,172.2,11.93,164.12,158.8,
59,126.6,160.7,5.7,168,149.48,131.37,173.92,12.46,165.22,158.68,
60,125.69,158.76,5.32,172.31,155.55,147.02,151.15,13.84,167.89,163.68,
61,123.69,156.86,4.86,174.81,162.12,119.35,166.03,18.97,169.63,167.64,
62,122.47,156.82,4.52,177.43,168.06,111.4,167.22,17.17,168.91,167.83,
63,120.61,157.91,4.53,178.65,172.84,110.22,140.56,21.69,164.95,161.33,
64,120.22,156.21,5.56,179.27,175.38,114.53,129.02,23.57,159.96,155.73,
