frame,rea,rwa,rsa,rha,rka,lea,lwa,lsa,lha,lka
1,160.07,172.38,4.47,169.87,155.14,168.39,177.27,8.61,157.2,165.43
2,159.35,173.23,4.91,168.98,157.74,167.71,175.81,8.67,158.95,169.44
3,156.73,173.34,5.03,165.88,157.8,163.31,176.64,9.44,157.96,172.77
4,157.83,171.87,6.21,163.67,159.38,163.47,175.6,7.26,156.25,172.07
5,158.63,168.84,6.74,159.7,166.22,161.95,176.42,6.12,154.2,156.09
6,158.49,170.02,6.41,158.57,166.83,160.12,174.53,5.7,154.3,155.68
7,159.45,172.45,6.91,158.32,165.55,159.17,173.23,5.71,155.49,156.99
8,157.68,170.21,6.58,159.86,168.7,157.74,173.5,5.59,156.86,157.28
9,157.49,171.59,6.14,158.81,169.16,157.06,173.16,5.37,159.14,152.5
10,156.34,171.06,5.31,154.99,164.01,155.34,172.92,4.42,164.87,155.91
11,156.35,172.8,4.84,152.48,161.63,156.26,174.48,3.65,168.02,155.06
12,154.37,179.67,4.0,151.81,161.01,152.59,176.72,4.38,171.57,154.61
13,152.01,176.13,3.13,146.95,154.57,148.36,173.89,4.3,174.16,153.07
14,152.95,177.48,3.68,143.03,148.74,146.72,177.2,3.92,179.26,156.98
15,152.37,178.63,3.6,136.3,140.85,144.69,177.72,2.27,177.33,158.74
16,151.73,179.48,4.7,125.46,129.29,134.98,177.28,0.46,176.81,157.09
17,152.1,177.18,5.56,122.57,124.6,127.39,169.49,1.42,173.95,156.42
18,148.65,168.83,5.95,122.32,122.33,112.52,158.96,2.16,172.68,158.68
19,161.16,178.24,12.8,127.38,124.19,95.22,152.22,0.21,172.62,160.02
20,157.3,179.08,10.2,133.19,124.9,69.77,163.79,0.6,168.61,162.64
21,157.07,178.64,9.71,140.76,129.45,58.06,160.6,0.11,162.68,170.87
22,160.26,179.26,11.37,148.77,135.43,44.68,168.44,0.31,166.38,169.55
23,163.33,179.72,12.53,155.56,139.16,37.6,171.96,0.37,170.76,164.81
24,163.82,179.16,13.9,159.33,139.28,36.44,169.86,0.02,173.42,164.6
25,166.19,177.86,15.08,159.99,137.0,31.83,167.86,0.98,174.47,174.65
26,167.59,179.05,18.44,159.61,134.26,25.87,171.03,0.71,178.75,176.68
27,165.82,176.52,19.63,157.1,130.97,24.44,174.42,0.51,178.57,174.02
28,162.51,169.08,19.38,151.55,134.24,23.13,174.29,0.95,179.71,177.56
29,163.9,172.53,21.29,147.68,140.67,23.1,177.59,1.7,179.32,172.81
30,161.83,175.85,22.09,145.96,149.46,19.24,178.12,2.2,177.89,168.1
31,162.62,172.92,25.92,145.65,158.79,20.63,177.49,2.69,176.97,158.02
32,161.44,176.37,26.86,145.41,161.93,13.82,168.47,0.7,176.77,148.16
33,163.08,175.71,28.46,143.85,155.93,12.12,160.26,0.09,177.39,134.08
34,165.82,179.02,28.72,142.13,148.37,6.42,155.43,8.82,176.69,122.62
35,163.39,177.89,26.0,140.88,141.76,2.14,157.83,13.93,174.71,113.3
36,163.49,179.56,26.19,140.29,137.73,1.16,158.79,14.96,175.45,105.46
37,164.49,179.55,27.28,139.38,136.14,9.72,157.8,21.28,175.9,106.2
38,162.23,169.27,30.98,137.72,134.59,13.04,160.58,24.37,177.44,104.24
39,158.32,159.65,36.78,134.28,132.09,20.6,162.85,32.23,177.8,106.39
40,157.8,158.45,46.71,133.24,131.4,26.14,165.2,37.84,178.38,106.65
41,152.78,159.2,53.68,131.29,129.94,28.35,166.96,40.2,178.78,106.73
42,143.11,163.26,53.69,130.24,129.6,31.0,170.6,43.23,179.96,106.87
43,130.3,177.56,48.85,129.14,128.91,30.4,177.31,44.63,179.76,108.37
44,108.32,175.01,41.39,129.87,128.92,29.71,179.74,46.26,178.93,108.72
45,95.21,168.97,31.65,131.25,129.33,30.6,177.85,49.49,179.53,110.16
46,88.48,146.82,25.56,132.54,129.93,31.55,175.94,51.52,179.37,114.42
47,97.43,172.21,22.84,132.45,130.14,29.9,178.3,48.7,179.51,118.84
48,109.58,177.65,21.34,133.65,131.25,30.65,178.9,49.79,179.88,121.4
49,123.81,173.34,21.54,135.78,133.86,26.3,178.21,44.74,179.65,122.27
50,131.94,167.34,21.03,137.46,135.68,25.61,179.91,42.85,179.49,122.18
51,141.22,164.3,20.85,137.52,135.69,21.63,179.61,39.39,178.97,120.16
52,145.19,162.45,17.88,139.01,137.26,24.58,176.62,37.09,178.78,118.53
53,150.8,169.13,14.77,139.88,138.29,28.85,179.81,38.77,178.95,121.23
54,156.41,174.13,13.67,140.04,140.02,23.12,179.93,34.11,179.58,123.67
55,161.7,177.8,11.97,141.96,142.6,18.95,173.99,34.52,179.97,123.07
56,166.37,177.63,9.75,144.8,144.59,13.24,172.99,32.45,178.89,129.53
57,173.76,177.57,9.74,150.35,148.47,5.0,171.89,30.24,177.93,136.36
58,175.02,173.79,8.01,152.77,152.33,8.13,173.84,26.11,177.05,146.19
59,171.25,172.64,3.79,154.27,155.98,29.1,178.54,20.31,175.83,152.7
60,156.06,178.49,2.59,154.54,160.55,59.82,148.6,18.31,176.15,159.45
61,143.55,94.75,1.3,157.38,166.03,117.56,179.68,16.06,176.11,163.67
62,87.01,86.84,3.24,160.12,172.64,136.23,169.61,15.53,176.36,167.14
63,157.48,175.24,0.18,161.91,176.92,146.91,170.73,15.01,175.85,169.64
64,169.37,160.59,1.49,162.15,176.05,155.74,173.83,12.94,175.63,171.12
65,146.71,173.45,5.6,160.13,169.32,161.03,179.09,10.32,176.67,172.32
66,168.8,58.34,1.23,158.68,163.53,163.31,177.52,9.09,176.38,175.35
67,172.73,174.28,2.05,159.08,158.86,164.34,174.82,7.36,175.64,177.95
68,171.31,175.74,3.19,161.16,155.48,166.07,175.93,5.79,173.63,178.91
69,167.41,170.44,2.27,161.13,151.07,167.22,174.8,4.4,173.77,177.36
70,170.69,175.94,2.58,164.12,149.04,168.21,175.14,4.37,172.93,175.76
71,172.06,172.79,2.03,167.1,147.34,168.58,172.71,4.01,174.05,177.34
72,171.99,174.72,2.01,169.91,145.07,168.8,172.7,3.31,173.73,176.85
73,173.49,177.74,0.37,173.68,148.67,167.71,174.0,2.23,176.25,179.15
74,175.52,178.16,1.24,179.81,158.49,168.46,174.95,1.76,176.16,176.55
75,177.74,176.07,1.98,174.79,164.98,167.39,174.35,1.68,175.84,176.09
76,176.67,178.38,1.62,174.25,158.35,166.57,175.71,1.4,176.3,176.46
77,176.63,176.48,2.69,172.36,159.15,165.29,176.29,1.52,174.89,179.73
78,176.46,173.41,4.18,171.93,159.32,163.71,178.96,1.48,175.7,179.07
79,175.66,175.37,6.93,172.81,158.83,164.83,174.09,0.07,176.08,178.42
80,174.78,178.64,9.39,173.37,159.87,164.83,171.22,0.1,176.02,177.74
