frame,rea,rwa,rsa,rha,rka,lea,lwa,lsa,lha,lka
1,163.37,170.59,3.6,166.74,179.71,71.09,150.88,9.63,173.49,171.39
2,161.65,175.93,3.45,165.84,177.8,75.16,155.59,8.69,173.87,169.82
3,162.8,176.2,4.76,165.81,176.81,79.0,164.07,9.03,173.37,168.56
4,162.82,173.96,5.11,164.87,172.7,77.97,165.9,9.35,171.92,168.76
5,162.2,174.96,5.92,162.99,168.47,79.98,164.98,7.95,171.65,166.94
6,164.38,171.17,7.36,162.52,165.69,80.47,164.03,8.0,171.3,164.26
7,164.43,170.68,7.54,163.1,164.93,81.73,168.13,8.78,171.03,161.7
8,165.11,168.98,7.61,164.63,166.35,81.44,166.67,8.97,170.81,159.94
9,162.79,174.0,7.79,165.54,166.97,83.57,169.36,9.42,172.42,157.31
10,163.14,178.07,8.88,166.27,167.3,89.73,177.24,9.3,173.82,155.43
11,164.16,179.38,9.56,166.93,167.82,90.58,172.79,9.48,174.65,155.1
12,165.2,178.13,9.5,167.91,168.06,89.81,169.9,9.77,174.44,155.75
13,166.0,177.07,9.37,168.96,168.69,87.94,163.45,9.84,174.42,156.61
14,166.15,174.17,8.86,170.12,170.59,85.88,163.01,9.64,174.58,156.61
15,167.05,173.53,9.3,172.08,172.63,84.87,165.51,9.32,174.11,156.48
16,164.21,173.39,8.35,172.41,173.02,84.99,168.92,8.26,173.71,155.45
17,164.11,172.53,9.42,171.14,171.71,83.65,177.25,7.86,174.04,153.57
18,164.15,171.49,9.87,170.02,170.03,80.85,175.1,6.03,173.24,153.59
19,157.15,175.54,8.45,167.87,167.99,78.48,172.24,4.89,172.87,153.47
20,150.87,176.36,7.55,165.38,165.63,64.59,157.81,4.33,173.09,152.2
21,141.59,179.46,6.12,164.06,164.26,60.5,153.42,3.24,172.69,151.26
22,134.9,177.65,8.81,161.72,162.72,56.64,152.35,2.39,174.21,151.08
23,110.48,166.05,4.47,160.52,162.52,53.11,156.25,2.34,171.8,152.5
24,101.8,169.49,5.97,160.9,166.32,53.07,172.87,0.86,174.32,152.69
25,94.54,163.13,7.6,162.46,172.31,52.27,179.76,2.98,176.05,154.76
26,76.39,171.09,8.93,164.48,178.73,48.92,177.23,5.7,178.08,157.11
27,49.79,170.62,7.82,163.7,179.11,43.38,172.55,7.71,179.59,160.6
28,43.2,165.7,8.12,164.65,178.95,40.99,172.96,12.96,179.23,162.05
29,46.52,168.7,12.27,164.4,173.27,45.34,167.37,20.0,177.76,164.76
30,156.48,154.4,6.65,164.86,166.09,41.08,170.77,22.22,176.22,168.53
31,34.69,177.82,11.79,165.64,162.5,40.66,171.88,25.66,174.61,170.86
32,36.89,177.28,19.14,167.86,159.2,42.88,173.78,31.55,171.45,169.65
33,52.33,178.65,33.67,164.75,150.89,45.38,172.51,38.27,169.65,165.66
34,60.22,171.42,45.0,167.4,150.75,55.66,177.62,51.83,169.0,160.06
35,76.69,174.1,65.27,168.46,152.98,66.19,176.94,64.88,171.25,156.93
36,77.33,176.88,58.28,169.56,144.33,73.85,174.47,73.9,171.93,157.77
37,44.3,170.85,34.3,172.14,135.99,77.38,174.05,81.49,171.25,158.12
38,81.42,172.48,60.94,172.75,129.52,85.76,176.39,89.87,168.56,154.82
39,129.61,174.75,119.63,173.58,126.32,90.92,176.21,95.9,165.73,152.56
40,126.97,179.28,109.4,178.68,129.96,94.8,179.75,96.57,165.63,152.36
41,138.91,178.58,118.9,178.07,131.24,105.84,174.82,107.65,168.1,156.54
42,113.12,160.56,81.13,174.57,136.33,121.86,177.69,120.77,166.8,155.65
43,122.36,174.67,94.53,172.12,141.45,126.46,174.58,126.1,167.72,158.85
44,143.57,179.73,119.74,170.03,148.2,131.39,174.73,131.04,167.43,161.47
45,165.23,178.82,145.01,169.71,153.16,134.54,179.5,135.59,165.9,162.69
46,163.78,175.24,150.95,171.08,155.41,139.09,177.8,138.91,161.73,160.09
47,173.71,172.69,166.38,173.3,154.66,145.08,178.09,147.09,157.9,155.37
48,122.0,161.48,137.37,176.15,151.92,150.21,176.01,151.83,154.57,146.98
49,174.25,164.4,178.51,178.76,149.36,155.33,179.85,154.4,152.28,139.98
50,155.32,156.65,161.9,178.8,150.07,156.35,177.82,156.13,154.39,136.2
51,154.62,147.95,162.39,179.17,151.82,157.54,176.17,156.77,161.33,139.22
52,169.39,161.88,178.35,179.21,154.99,152.32,178.51,152.13,170.32,134.4
53,156.54,165.2,172.81,177.67,160.08,147.18,175.49,149.38,173.42,137.01
54,153.32,160.25,167.92,175.74,157.99,141.02,178.72,143.12,179.34,142.72
55,169.05,157.89,158.62,174.04,159.86,135.25,177.15,137.06,173.39,150.18
56,158.69,157.43,149.86,172.04,164.23,127.38,177.77,128.72,170.94,152.21
57,154.44,157.68,145.17,171.29,166.88,112.29,170.86,107.59,169.37,154.8
58,165.5,163.41,152.21,169.81,169.81,112.92,172.57,108.0,169.63,156.71
59,150.64,163.68,139.8,169.92,168.77,96.02,169.59,87.22,172.37,156.94
60,140.92,170.71,133.97,172.35,165.62,87.41,174.98,80.86,169.18,159.27
61,153.29,179.63,137.59,176.4,162.82,97.04,171.69,92.6,169.97,163.55
62,141.39,155.66,123.86,172.03,143.38,101.87,178.49,96.5,168.49,165.28
63,83.9,159.14,61.87,165.0,135.94,85.45,174.91,80.59,166.73,166.64
64,88.95,163.79,91.54,156.95,131.33,85.08,175.93,79.92,167.31,163.83
65,164.04,162.58,77.78,150.03,131.49,77.4,176.75,72.42,167.49,163.87
66,143.54,169.6,56.28,141.48,132.82,66.22,178.07,61.08,168.31,162.01
67,146.05,168.56,46.23,135.74,135.04,59.04,177.89,54.87,170.01,160.01
68,151.43,171.2,32.92,133.86,139.92,37.02,178.58,29.47,170.87,158.82
69,160.78,169.22,24.91,131.53,143.45,36.25,168.49,19.12,170.54,160.02
70,167.37,170.31,17.96,131.29,146.33,31.77,179.5,14.79,164.82,164.9
71,168.07,176.35,15.26,138.43,149.31,29.02,173.88,7.62,158.5,170.07
72,171.9,175.7,11.99,141.44,149.95,28.08,171.07,3.95,157.64,168.11
73,174.53,176.16,11.78,140.74,147.6,26.85,171.71,0.37,158.88,167.55
74,176.65,176.52,10.95,144.81,148.33,25.83,179.32,1.66,160.94,165.64
75,176.79,176.01,11.56,150.14,151.52,30.77,176.27,1.96,161.35,164.32
