frame,rea,rwa,rsa,rha,rka,lea,lwa,lsa,lha,lka
1,152.05,176.71,14.91,171.96,160.2,150.56,173.52,13.44,160.11,158.29
2,154.31,175.07,13.76,173.66,164.74,154.18,169.86,13.09,162.0,161.22
3,155.82,174.35,12.9,175.44,168.57,160.18,166.92,12.52,164.93,164.64
4,158.72,176.19,11.34,176.47,171.58,163.7,168.66,12.11,166.97,166.7
5,158.66,176.9,9.92,176.47,169.72,165.41,161.02,12.68,168.15,166.66
6,160.44,176.29,9.24,176.17,165.76,168.93,164.98,11.91,167.17,163.9
7,162.63,171.68,9.56,178.49,165.95,173.59,154.13,11.32,167.31,161.8
8,167.53,173.18,12.58,178.66,167.69,175.85,153.37,12.31,166.04,159.48
9,171.12,172.73,16.67,177.69,169.07,176.13,149.38,13.53,164.67,157.15
10,172.2,172.07,19.77,177.02,171.1,175.9,147.42,14.81,162.63,153.68
11,174.73,170.11,23.03,177.29,170.81,175.11,143.67,16.39,159.47,150.13
12,175.14,170.83,22.75,176.63,171.51,173.0,140.33,18.93,159.8,149.05
13,178.21,169.26,22.58,173.09,143.95,173.73,146.79,20.15,163.19,151.62
14,178.98,170.49,20.85,173.27,128.32,176.86,126.65,21.04,166.79,152.4
15,178.55,168.18,19.99,171.37,109.41,179.63,132.81,23.5,167.88,147.73
16,172.54,170.98,21.86,163.2,90.2,171.72,144.82,26.43,170.58,148.62
17,171.24,172.26,22.02,158.7,90.05,151.37,133.57,28.8,172.13,150.94
18,168.85,174.89,23.59,151.56,116.55,107.75,151.66,32.94,175.86,154.58
19,165.76,175.31,26.3,142.89,130.33,75.26,168.38,36.78,177.98,153.16
20,160.91,174.27,29.51,136.53,139.41,62.74,178.35,42.7,179.57,150.42
21,154.15,175.6,35.22,133.78,148.67,66.14,177.58,48.58,176.68,149.84
22,148.91,173.08,40.79,135.38,157.36,69.92,179.52,57.12,170.94,150.37
23,144.33,179.43,47.38,138.01,161.65,66.58,173.47,61.02,167.01,142.42
24,145.19,178.34,53.4,137.4,158.6,68.2,168.82,61.44,166.25,113.73
25,155.55,178.66,56.46,137.0,153.65,75.67,174.13,62.74,165.02,101.84
26,172.79,164.86,56.13,135.98,149.51,82.33,178.62,63.4,165.17,85.86
27,177.19,161.26,61.98,132.81,143.5,89.91,178.27,66.03,164.86,75.56
28,171.17,162.36,67.61,131.38,141.32,103.6,167.4,72.4,165.97,71.29
29,172.43,176.88,79.1,130.77,139.98,122.52,149.6,75.25,167.12,67.51
30,170.86,171.73,91.09,134.13,142.38,143.01,129.67,74.24,167.82,65.61
31,158.21,171.08,97.01,139.18,146.43,147.95,124.92,67.9,168.55,69.45
32,160.02,169.46,90.54,141.81,146.87,150.38,127.39,64.44,167.2,73.45
33,160.95,172.3,82.54,145.54,149.84,142.96,131.62,50.23,165.33,81.79
34,161.18,172.18,76.01,149.09,153.85,147.64,132.19,45.24,162.53,124.63
35,166.26,175.69,65.21,152.75,158.13,157.88,132.71,43.18,162.91,148.72
36,168.87,169.33,56.62,155.95,162.95,164.61,134.26,39.73,162.66,163.5
37,163.22,176.76,48.72,156.97,165.02,167.57,123.73,34.93,161.83,176.29
38,173.71,178.59,33.78,159.68,172.18,168.05,130.12,30.75,162.88,178.73
39,179.63,179.49,23.91,161.24,175.97,167.79,130.98,27.37,164.8,179.49
40,176.03,175.13,16.76,162.75,173.67,166.85,138.01,24.19,166.12,175.82
41,178.5,176.31,12.63,163.24,168.64,165.98,148.43,22.0,167.02,170.58
42,175.58,177.94,7.93,163.52,166.65,165.64,148.97,20.45,168.85,163.04
43,171.29,176.2,0.44,163.28,165.66,168.79,147.44,20.74,168.12,156.5
44,170.13,179.76,4.71,161.33,163.03,173.42,142.38,21.34,168.94,148.21
45,170.53,179.67,4.32,160.93,162.28,174.78,143.0,20.47,168.88,151.97
46,171.3,179.72,3.66,160.37,163.29,174.56,151.2,18.67,168.98,153.81
47,168.08,178.51,4.26,161.55,167.32,174.69,156.06,16.91,168.34,158.98
48,166.11,177.74,5.63,162.33,170.63,177.92,161.77,15.63,168.79,164.6
49,166.77,179.53,5.8,162.71,174.29,178.53,163.13,12.83,170.46,167.7
50,167.0,177.78,4.11,162.75,176.64,171.39,171.45,11.96,171.89,171.86
51,164.99,178.64,3.88,162.86,176.25,170.38,169.48,9.4,174.61,171.18
52,165.84,175.22,0.38,159.05,170.88,163.35,177.45,7.97,177.81,170.97
53,162.11,174.28,0.44,157.21,163.09,153.42,176.41,7.39,179.85,170.01
54,159.27,177.72,0.85,156.55,157.58,145.99,179.39,6.82,178.33,168.84
55,155.34,176.73,0.2,157.93,153.26,137.58,178.29,7.42,179.27,171.08
56,154.53,172.79,1.09,157.94,148.33,124.53,175.05,7.3,177.87,171.72
57,154.52,167.33,1.33,161.26,145.7,117.77,172.24,7.31,177.47,172.72
58,150.0,170.96,0.01,163.74,144.22,113.36,166.25,7.55,178.99,175.83
59,151.03,169.09,1.13,166.47,144.15,114.51,165.83,7.01,178.33,175.36
