frame,rea,rwa,rsa,rha,rka,lea,lwa,lsa,lha,lka
1,153.11,175.41,2.11,170.81,153.26,138.07,178.72,9.57,163.4,164.7
2,155.14,173.07,0.45,170.86,156.67,140.96,178.84,9.31,163.13,165.3
3,156.81,169.86,2.33,168.18,159.25,142.25,175.31,8.54,161.04,166.07
4,158.95,168.02,4.25,167.21,161.45,142.29,179.2,10.28,158.98,166.19
5,159.78,166.08,5.87,163.39,158.59,143.47,179.16,9.43,155.49,164.47
6,161.16,167.28,5.84,162.54,160.06,144.39,177.19,10.6,154.84,160.01
7,159.53,166.25,4.56,158.67,162.92,143.53,176.98,11.62,154.51,151.88
8,158.33,169.82,5.25,157.35,162.6,145.54,177.59,10.55,154.86,152.88
9,158.15,168.79,4.94,159.99,165.85,145.09,176.16,12.18,155.62,152.66
10,160.34,165.45,5.27,162.53,164.69,148.21,176.45,10.94,157.43,153.25
11,160.27,170.51,4.57,158.56,162.54,149.12,176.06,11.0,160.36,144.68
12,161.05,171.1,4.82,155.39,159.78,149.42,177.6,9.74,164.73,146.35
13,159.05,173.6,2.63,153.85,156.58,149.64,176.98,10.51,171.2,150.77
14,157.88,174.91,2.22,150.12,152.21,149.32,177.7,11.09,174.09,148.38
15,155.75,178.09,1.29,147.77,148.09,149.07,178.95,11.01,179.59,149.89
16,154.82,173.84,1.92,143.47,142.72,147.61,177.61,9.46,175.69,150.53
17,149.36,179.22,2.11,138.4,137.18,143.27,174.39,8.89,174.82,150.52
18,142.53,171.62,1.75,129.47,129.42,140.27,168.68,7.45,175.97,147.01
19,147.8,176.71,3.6,125.09,124.73,136.04,176.88,6.09,176.92,144.29
20,153.36,178.69,5.08,123.91,121.63,132.93,175.56,6.64,175.21,144.85
21,140.15,119.01,5.23,127.44,122.37,123.56,176.01,5.97,174.72,147.15
22,178.78,145.73,34.33,131.0,126.61,126.07,169.67,3.77,173.83,150.37
23,174.67,151.08,21.09,135.88,129.91,115.49,159.65,2.91,170.87,154.88
24,163.25,165.82,9.66,141.57,132.52,119.43,160.18,2.52,167.64,162.42
25,160.07,172.18,3.59,149.82,138.44,117.14,167.96,4.66,168.75,165.25
26,161.74,171.25,2.17,155.68,143.12,99.04,125.65,0.72,173.4,162.02
27,163.8,171.39,1.61,161.08,147.24,87.69,150.63,0.01,174.74,164.69
28,163.43,173.15,0.76,162.53,147.45,83.16,176.19,2.66,178.56,164.8
29,164.58,174.28,1.37,162.55,147.27,70.8,164.93,4.27,178.82,170.28
30,164.69,175.56,1.34,162.33,143.49,60.22,163.78,3.27,177.85,176.81
31,165.57,174.34,4.24,161.68,139.59,53.61,166.52,2.66,175.14,175.9
32,164.31,175.84,4.75,160.93,137.3,46.11,164.69,3.83,174.6,179.3
33,162.93,176.43,6.13,155.05,133.76,40.9,167.74,6.44,174.17,178.5
34,163.65,178.29,9.23,150.08,137.0,38.67,164.03,9.63,174.54,175.47
35,163.6,175.88,12.21,144.61,140.34,36.69,168.29,6.29,175.23,169.65
36,162.75,177.14,14.77,142.47,147.25,32.36,174.64,4.95,177.79,166.09
37,165.56,176.9,17.9,143.33,155.62,28.26,167.83,4.5,179.75,158.4
38,165.76,176.13,20.73,143.27,157.74,26.23,168.44,1.8,179.84,149.69
39,163.36,174.49,21.15,143.82,153.36,24.28,171.25,3.33,179.94,140.76
40,161.76,174.85,21.77,144.24,149.9,28.31,176.35,0.69,178.83,132.97
41,159.75,178.75,21.72,144.37,146.62,26.54,178.79,2.24,178.12,125.61
42,157.37,178.69,21.27,144.6,142.99,26.0,179.45,1.65,177.71,121.58
43,158.02,177.61,22.25,145.21,142.05,23.55,179.32,0.43,178.19,120.72
44,160.1,178.44,24.65,145.61,141.35,26.26,178.73,4.58,178.25,123.64
45,161.88,176.19,26.19,146.22,141.18,26.17,177.61,3.43,177.28,127.12
46,167.37,170.8,31.89,145.68,139.82,21.82,178.21,2.46,177.46,129.14
47,160.01,164.07,37.06,143.73,137.84,21.03,176.21,3.06,178.76,128.6
48,145.31,154.77,42.36,143.71,138.1,27.64,177.68,2.3,179.58,128.87
49,134.79,155.38,46.52,142.98,138.22,35.29,169.28,11.12,179.39,127.01
50,124.55,159.65,44.84,141.14,137.57,55.47,171.28,29.45,177.45,122.02
51,117.54,168.01,42.35,141.72,138.52,129.51,168.7,98.96,176.97,118.45
52,103.57,168.42,36.54,140.9,138.39,30.84,170.19,1.79,175.81,115.34
53,99.16,165.79,33.54,139.88,137.75,131.1,167.11,164.64,174.39,115.71
54,94.0,144.98,30.28,140.4,138.69,83.9,166.64,115.93,173.19,116.23
55,102.94,152.12,29.65,140.87,139.1,48.29,162.74,78.87,171.24,117.32
56,122.48,161.89,27.34,141.25,139.65,27.12,167.43,59.75,170.73,120.63
57,133.95,161.31,24.5,141.52,140.41,14.07,175.87,48.84,169.48,121.78
58,143.21,163.68,23.48,140.08,141.12,2.46,177.76,37.97,167.0,122.74
