frame,rea,rwa,rsa,rha,rka,lea,lwa,lsa,lha,lka,
1,159.14,172.71,3.45,139.06,148.22,74.54,156.76,14.46,159.72,156.1,2
2,157.91,175.5,1.58,140.13,146.37,82.9,170.04,10.66,164.2,154.73,
3,156.46,176.31,2.64,134.57,139.98,92.89,164.46,12.09,168.98,157.68,
4,157.59,172.93,3.51,129.67,134.09,165.66,173.51,7.63,171.02,156.73,
5,158.19,172.79,5.8,124.16,128.18,160.49,141.43,8.4,167.16,150.76,
6,157.75,177.61,6.82,124.63,126.95,150.55,175.2,18.25,170.43,153.87,
7,159.68,177.96,7.44,130.18,131.53,103.83,149.01,71.46,173.16,158.11,
8,161.01,175.2,5.69,133.63,131.29,134.94,89.85,30.93,176.53,161.77,
9,164.07,177.82,8.23,139.65,134,77.39,142.26,36.03,178.1,163.58,
10,168.42,179.35,10.94,148.26,143.68,125.3,170.49,70.52,176.05,161.47,
11,171.58,179.18,14.25,153.41,147.96,101.93,170.78,53.22,173.45,158.62,
12,171.25,177.5,15.65,156,148.2,116.25,178.78,66.56,171.72,159.32,
13,175.99,179.91,23.7,151.8,143.2,130.95,177.73,82.49,166.11,157.59,
14,171.06,176.11,25.3,149.52,140.04,144.41,167.79,94.73,162.83,157.83,
15,173.81,176.25,31.87,146.52,140.92,165.97,165.36,115.91,164.93,158.81,
16,170.81,178.22,34.55,145.15,146.45,167.63,167.23,139.55,167.23,157.56,
17,166.29,167.41,36.09,141.44,150.14,160.3,172.22,148.49,169.36,157.53,
18,175.79,179.07,46.46,137.73,155.36,176.91,164.6,147,171.63,156.89,
19,171.78,173.39,47.57,140,165.15,167.37,158.12,179.23,173.48,156.48,
20,168.17,170.66,45.28,142.02,170.09,156.18,105.86,27.11,176.95,158.56,
21,177.74,171.3,53.26,141.6,171.01,104.35,6.7,89.09,179.53,158.83,
22,160.69,148.71,49.9,141.3,168.68,170.43,37.22,49.69,177.42,159.3,
23,169.75,149.53,59.46,136.88,166.42,16.41,60.37,158.12,175.4,154.48,
24,167.16,147.73,68.62,131.13,157.64,165.28,141.3,154.19,174.58,148.14,
25,136.59,150.66,61.7,126.48,147.61,137.86,61.78,141.6,176.68,139.68,
26,108.71,158.42,51.3,124.01,141.08,115.83,157.33,124.09,177.42,122.13,
27,88.35,170.39,46.13,120.16,137.05,88.77,172.21,108.21,179.76,131.73,
28,74.13,178.75,42.65,118.67,137.08,57.9,130.84,97.97,175.83,131.12,
29,62.5,173.35,36.65,119.33,138.1,21.92,171.21,86.82,175.67,133.82,
30,62.48,176.65,33.36,121.06,139.81,9.78,157.14,81.97,174.75,137.23,
31,84.25,150.13,28.2,123.56,141.2,27.26,174.05,76.17,175.51,141.93,
32,109.98,159.77,24.56,124.82,141.95,24.4,145.51,74.07,175.07,143.17,
33,134.21,153.46,24.33,128.65,144.47,88.37,118.4,61.24,171.39,143.51,
34,143.91,164.05,19.62,132.54,147.13,104.98,104.63,47.65,167.32,142.03,
35,143.95,165.78,14.99,135.25,148.51,107.7,113.99,40.19,166.57,143.78,
36,148.13,169.05,11.65,136.67,148.12,92.48,170.77,37.08,165.92,145.81,
37,148.93,174.95,8.07,136.47,147.45,84.93,131.16,31.11,165.66,147.28,
38,147.72,174.98,5.32,137.06,147.23,88.26,156.54,26.5,166.48,149.02,
39,148.34,174.69,3.29,141.12,150.49,83.03,168.09,24.26,168.19,147.95,
40,154.65,176.87,2.74,150.14,161.77,117.82,100.92,23.65,166.05,145.79,
41,156.21,173.22,3.94,157.68,173.1,165.06,138.02,10.33,164.47,144.94,
42,156.53,172.4,4.45,159.71,176.2,153.06,155.44,4.04,163.56,146.03,
43,155.6,170.41,4.04,160.05,171.57,101.67,115.33,2.78,163.49,147.74,
44,155.45,172.38,4.25,159.54,164.25,123.43,81.46,0.27,161.22,148.29,
45,157.32,174,4.44,161.82,159.82,150.21,168.42,1.57,160.26,150.56,
46,159.25,178.2,6.12,160.39,151.76,147.82,61.57,1.69,163.01,153.66,
47,160.73,178.93,6.97,162.28,150.12,116.61,100.46,0.77,163.92,157.37,
48,161.2,179.36,7.24,163.19,147.31,130.6,61.82,10.69,166.32,158.97,
49,161.65,177.04,8.28,164.11,147.5,120.16,94.35,14.44,165.63,159.58,
50,158,175.1,6.8,166.47,150.55,124.58,114.33,11.72,164.87,162.13,
51,158.33,173.78,7.62,166.97,152.45,136.45,126.17,12.88,164.59,159.59,
52,155.96,176.55,5.76,167.81,155.99,129.78,177.95,13.65,164.93,155.51,
53,157.77,179.59,4.23,169.51,158.18,148.35,178.56,11.1,168.12,157.5,
54,156.97,176.35,3.04,168.49,156.19,145.42,176.97,9.13,167.94,150.93,
55,158.43,174.95,1.52,166.2,154.66,135.63,131.66,5.55,166.71,145.54,
56,157.03,176.35,0.58,165.12,157.22,145.53,169.13,2.53,167.13,140.52,
57,155.07,177.59,2.57,163.3,157.06,108.01,173.16,2.33,170.25,143.97,
58,153.62,176.77,4.05,162.16,155.46,98.23,161.17,4.5,174.19,148.52,
59,153.07,175.68,4.85,159.08,152.75,84.54,172.57,6.3,178.91,156.35,
60,153.42,173.43,4.83,155.77,151.27,75.07,172.64,8.23,179.4,161.08,
