frame,rea,rwa,rsa,rha,rka,lea,lwa,lsa,lha,lka
1,142.66,170.26,13.24,166.0,170.63,109.92,141.33,0.11,161.84,151.8
2,143.19,171.52,11.6,161.56,164.18,132.33,130.31,2.02,160.14,149.51
3,144.16,172.58,10.21,156.71,154.8,91.41,165.6,2.17,156.75,143.94
4,150.9,169.61,7.38,153.37,145.56,81.63,159.3,3.92,154.79,139.56
5,152.88,170.24,7.71,150.53,141.23,79.5,160.9,5.47,148.48,129.65
6,148.28,168.83,10.91,152.1,144.06,76.08,151.97,4.81,149.36,129.72
7,148.49,171.02,10.1,156.72,151.66,71.14,175.8,4.63,149.18,126.13
8,138.85,171.85,15.86,159.2,156.73,59.98,172.54,7.04,150.43,130.86
9,135.44,170.4,20.06,164.47,170.27,59.79,161.97,13.39,155.22,142.12
10,123.15,175.61,29.63,168.99,177.17,63.3,173.12,26.48,159.72,147.79
11,112.0,171.79,38.28,170.58,178.07,58.86,166.61,41.99,161.68,153.8
12,110.59,174.57,41.95,170.35,170.9,62.18,171.28,44.67,164.94,160.25
13,111.28,176.79,43.27,171.77,169.68,59.0,173.36,43.7,168.58,166.33
14,108.5,165.8,48.16,171.86,165.69,58.15,174.01,46.86,170.15,168.73
15,107.62,173.02,50.72,171.95,161.95,53.41,175.54,45.11,171.47,168.27
16,111.17,179.49,49.18,173.82,161.5,48.89,176.34,37.53,173.89,164.36
17,111.05,154.08,51.46,176.84,161.24,45.45,179.25,36.0,176.64,165.96
18,41.94,74.92,52.18,179.73,159.23,42.19,176.95,36.09,178.78,169.6
19,83.05,125.96,61.19,177.39,162.45,47.43,176.69,44.01,179.69,170.18
20,62.87,167.17,75.83,175.06,163.5,51.31,172.99,51.07,179.28,171.3
21,52.47,167.98,76.85,173.82,162.14,52.29,172.62,54.54,179.35,171.45
22,53.95,163.83,75.08,172.09,161.31,53.55,172.13,56.39,178.03,173.24
23,54.22,173.47,74.42,170.48,166.58,54.97,175.01,58.32,178.39,173.64
24,58.13,176.2,79.87,170.52,170.76,57.1,177.09,60.51,179.03,173.51
25,62.14,179.77,82.96,172.75,170.14,61.98,174.86,69.0,179.05,172.68
26,66.09,179.22,86.1,173.92,170.01,65.98,174.77,74.66,175.84,167.29
27,69.06,177.05,90.7,174.06,172.62,78.2,174.57,87.82,170.6,157.9
28,77.13,175.66,98.19,175.52,169.52,90.84,176.46,99.46,165.0,149.74
29,86.15,179.01,106.38,174.96,169.38,103.36,177.98,111.12,162.99,144.95
30,96.23,178.36,116.31,175.37,167.02,114.33,176.82,122.68,160.43,142.52
31,100.26,179.64,120.42,175.73,166.46,116.56,173.93,125.9,159.22,142.86
32,106.39,177.37,126.73,175.22,169.67,128.07,172.68,129.1,159.59,144.32
33,107.18,178.53,127.87,175.32,170.94,126.85,167.94,125.83,158.4,146.47
34,127.81,177.37,135.77,173.01,175.82,129.77,169.37,127.67,159.09,150.66
35,161.81,167.54,146.74,173.73,177.48,128.97,171.76,126.3,163.01,158.42
36,169.68,111.61,162.9,173.54,179.91,131.46,173.89,128.03,161.76,160.65
37,173.64,106.95,159.7,175.85,179.65,124.65,171.9,125.95,161.25,163.84
38,169.3,137.98,173.4,177.81,179.35,127.19,169.5,131.04,162.09,169.38
39,163.66,160.2,172.7,179.22,177.78,126.42,167.42,136.06,163.06,174.97
40,177.14,173.38,173.8,179.0,176.04,128.43,165.27,136.26,164.39,177.12
41,171.45,176.54,171.49,179.0,173.33,119.83,167.51,130.3,166.21,178.37
42,120.18,177.4,118.44,176.07,170.57,174.63,169.13,3.51,167.13,174.38
43,114.04,177.71,111.05,173.41,166.13,178.2,179.84,5.96,165.15,168.77
44,85.89,179.42,86.47,168.99,160.76,178.6,178.65,4.41,160.95,161.75
45,66.33,164.23,60.48,163.94,154.35,178.04,153.54,0.33,157.76,155.12
46,60.37,173.23,39.51,158.59,142.98,66.49,117.64,29.07,151.47,147.45
47,63.85,158.97,33.26,154.95,139.36,49.28,173.24,28.36,146.75,142.09
48,111.81,140.77,12.47,152.84,138.38,41.44,169.32,17.3,142.99,136.36
49,109.86,130.35,3.35,153.73,140.27,66.14,178.12,13.11,145.27,138.15
50,104.24,140.25,0.21,151.64,140.17,111.83,154.01,10.44,145.27,138.4
51,98.6,153.61,2.54,150.27,142.16,113.53,163.27,6.23,146.72,138.37
52,93.27,165.45,5.61,152.52,147.48,99.68,138.73,4.46,147.6,137.43
53,91.27,151.24,6.47,151.33,149.36,44.3,162.47,4.26,146.07,136.38
54,90.53,178.55,9.42,152.74,149.77,79.19,136.32,3.47,150.72,145.05
55,86.89,130.89,5.52,155.24,152.28,49.79,108.28,13.46,153.81,151.45
56,93.0,146.57,12.31,158.27,155.28,49.66,147.58,3.96,158.25,156.02
57,103.77,150.36,14.81,162.15,158.85,41.67,151.96,0.07,162.87,164.86
58,112.13,156.76,16.35,163.84,159.96,43.19,156.72,6.17,166.92,166.49
59,116.22,155.54,18.19,166.13,161.53,63.45,138.82,8.92,167.86,161.57
60,120.47,154.15,17.37,166.22,161.22,58.55,139.93,1.03,165.65,153.6
61,127.59,157.94,15.58,165.01,159.84,44.73,160.21,2.07,165.88,151.56
62,132.74,160.6,14.9,163.73,156.62,44.05,166.58,1.33,165.3,150.08
63,136.95,164.67,14.63,163.71,155.83,48.59,156.55,1.29,166.84,152.51
64,137.87,170.94,15.34,165.41,157.6,54.11,154.51,2.86,169.12,157.52
65,139.44,169.68,14.41,166.37,158.61,73.32,177.15,4.65,171.89,159.72
66,138.96,169.01,14.39,166.39,160.29,78.48,170.35,2.76,172.39,160.67
67,140.25,171.04,14.72,167.48,162.76,150.1,157.06,6.11,172.32,158.48
68,139.59,168.88,14.25,169.35,165.9,140.39,164.5,4.37,173.59,158.4
69,140.07,171.0,14.43,171.24,168.13,156.51,160.81,3.98,175.67,159.99
70,139.8,169.75,15.0,173.12,169.13,157.65,161.51,4.34,176.4,159.38
71,140.44,170.06,15.16,173.58,166.42,155.49,157.48,3.6,177.05,158.76
