frame,rea,rwa,rsa,rha,rka,lea,lwa,lsa,lha,lka,
1,129.53,172.14,15.35,177.93,171.91,89.17,167.66,1.35,174.08,171.07,4
2,130.06,176.57,15.67,177.76,171.69,93.85,167.56,1.63,173.98,170.95,
3,131.21,178.14,16.23,177.47,171.05,94.6,165.89,2.61,173.61,170.06,
4,131.34,177.59,16.8,177.17,170.47,91.66,167.74,3.69,172.82,167.97,
5,130.97,178.08,17.42,176.52,170.16,91.57,171.01,3.83,171.46,165.22,
6,130.38,177.22,17.7,175.66,169.59,86.43,175.75,3.46,169.07,161.43,
7,130.53,176.61,17.24,175.23,169.48,87.01,174.11,2.84,167.76,158.76,
8,129.36,174.22,16.62,175,169.63,89.01,173.3,2.26,167.44,157.76,
9,128.26,172.53,15.93,174.86,169.85,90.55,173.03,2.19,167.1,157.55,
10,127.04,174.18,15.99,175.5,170.57,91.11,171.21,2.07,167.09,157.47,
11,123.24,170.69,16.04,175.92,171.13,90.89,171.84,2.35,166.55,156.19,
12,115.19,162.19,16.78,176.24,171.79,92.72,170.42,2.02,166.06,155.12,
13,111.68,158.39,17.45,176.54,172.03,93.53,169.44,2.47,165.26,152.51,
14,111.79,164.29,17.78,176.47,171.96,96.02,165.7,3.02,163.59,149.95,
15,104.74,162.17,17.81,175.42,170.56,100.3,157.16,1.7,162.11,149.58,
16,89.88,172.84,17.64,174.19,168.59,101.92,154.11,0.69,160.3,147.24,
17,71.02,176.42,18.23,172.46,165.6,101.99,150.18,0.79,159.72,147.37,
18,47.97,178.49,19.3,170.87,161.16,91.56,166.11,0.63,161.25,150.21,
19,26.58,146.3,20.65,170.04,158.13,75.45,177.96,1.24,162.56,150.89,
20,4.99,160.11,24.16,170.95,158.41,61.99,168.6,4.26,163.21,150.83,
21,8.34,175.27,30.34,172,158.79,53.65,165.92,12.01,162.94,148.54,
22,21.12,173.92,39.14,173.86,161.6,46.84,179.47,13.64,162.41,147.41,
23,28.26,172.6,43.81,174.69,163.99,38.59,173.72,17.11,161.91,147.84,
24,38.72,173.63,51.4,178.21,171.97,29.16,177.17,24.6,161.71,148.71,
25,45.49,175.7,56.42,179.4,175.13,34.38,174.85,38.62,161.21,150.52,
26,50.82,175.5,60.32,178.71,174.92,43.61,169.34,53.35,161.91,153.91,
27,53.55,176.13,63.25,179.43,174.98,49.45,168.32,61.35,164.9,160.35,
