frame,rea,rwa,rsa,rha,rka,lea,lwa,lsa,lha,lka
1,168.2,176.74,10.31,164.17,176.01,48.33,171.42,13.25,173.31,178.21
2,167.75,179.71,10.52,164.27,175.45,52.74,168.7,11.59,173.65,177.79
3,163.86,177.88,10.33,165.42,174.76,53.04,165.59,11.09,172.25,177.75
4,162.25,177.34,10.02,165.76,174.44,55.62,170.45,10.77,172.21,175.88
5,163.79,178.51,11.16,166.88,174.31,53.96,170.52,10.87,171.9,172.03
6,164.19,174.85,11.26,167.38,172.5,53.72,169.95,12.2,171.72,167.22
7,163.72,175.88,11.39,167.85,170.26,54.21,171.3,12.88,171.15,162.6
8,160.9,176.62,10.27,168.56,168.53,57.48,169.1,13.74,173.1,154.89
9,161.53,178.16,11.11,169.19,169.46,58.88,158.02,13.09,176.96,148.91
10,162.3,176.18,12.02,170.24,170.82,61.57,149.9,13.57,179.83,146.22
11,163.13,178.52,13.25,171.67,172.46,63.94,149.24,13.75,178.14,146.8
12,160.83,178.31,14.5,172.12,173.37,66.72,154.25,14.12,177.42,149.94
13,159.93,179.85,14.03,172.9,173.93,69.13,157.65,14.69,176.36,152.05
14,156.43,176.78,13.64,173.43,174.19,70.63,156.46,15.37,175.12,154.6
15,153.51,177.36,13.83,173.44,174.31,69.96,155.12,15.64,174.85,158.4
16,147.79,173.48,13.39,172.16,173.37,68.57,150.31,14.56,174.23,163.38
17,145.52,176.56,12.94,170.48,171.19,68.2,156.85,13.22,172.69,165.33
18,143.76,175.21,13.49,167.75,168.51,69.03,159.04,11.07,171.04,163.79
19,128.54,157.18,14.47,163.91,165.88,66.71,157.21,10.14,169.05,163.14
20,118.25,160.04,12.37,160.38,163.05,63.59,155.03,8.51,166.48,162.41
21,122.86,171.11,12.52,159.02,162.47,63.89,160.91,5.0,165.36,162.73
22,120.76,175.75,9.03,159.53,163.08,61.47,157.7,2.92,164.73,163.01
23,130.02,169.35,9.92,158.44,160.82,66.85,158.85,1.24,162.84,162.47
24,133.64,170.59,8.99,158.67,159.49,66.42,154.21,3.61,160.87,161.32
25,142.73,172.06,9.3,161.65,161.88,66.67,150.18,6.8,160.05,160.2
26,144.62,167.52,10.05,160.69,157.42,68.93,147.96,10.49,158.91,158.95
27,114.31,141.62,14.88,157.26,148.97,64.18,141.77,12.6,158.02,157.32
28,112.24,158.64,16.36,155.24,143.57,59.04,137.69,13.55,158.69,157.45
29,84.63,139.85,20.87,156.87,140.4,56.22,135.74,16.97,158.66,157.43
30,59.17,164.0,23.39,158.52,142.01,42.04,144.51,21.76,160.1,161.48
31,44.34,170.51,23.64,161.6,145.66,37.11,152.45,21.9,163.95,168.86
32,43.99,168.99,27.73,164.31,149.91,31.28,151.19,24.09,165.75,172.58
33,45.51,175.56,23.04,166.79,151.69,24.17,156.89,24.98,165.27,173.01
34,54.68,178.18,27.31,166.38,153.77,27.06,158.07,31.45,164.69,167.28
35,64.96,171.57,31.54,169.38,160.57,35.33,162.45,41.92,161.62,157.87
36,62.79,173.47,29.96,167.52,159.42,39.48,166.69,47.89,162.95,155.11
37,35.9,169.3,4.74,170.37,163.24,43.33,169.71,53.41,165.57,151.54
38,29.86,174.55,5.62,170.29,163.09,51.34,168.32,65.49,168.77,151.01
39,6.71,179.0,12.11,161.3,154.63,68.14,161.45,85.94,171.92,155.95
40,15.76,164.22,9.56,168.91,161.06,85.37,161.15,101.49,173.73,157.6
41,12.27,168.06,20.72,172.2,162.82,99.41,162.76,114.91,174.53,159.15
42,12.23,167.44,24.49,176.78,167.38,111.51,170.13,127.73,175.35,158.82
43,16.92,165.12,27.26,175.57,166.32,125.56,173.33,137.08,176.18,159.3
44,18.36,166.62,26.15,171.41,158.28,133.56,176.75,142.35,176.57,159.41
45,18.89,166.81,25.68,176.32,157.9,138.02,175.72,145.42,177.84,159.09
46,23.32,166.83,28.11,178.85,161.56,141.49,176.81,148.08,177.34,159.09
47,26.39,170.38,28.93,179.43,159.08,143.12,175.29,147.86,175.96,157.29
48,32.07,171.79,35.73,177.14,160.78,144.55,174.18,148.38,175.97,156.08
49,31.41,165.19,38.53,177.29,161.45,147.0,173.14,151.09,175.66,157.09
50,30.21,160.39,40.7,179.53,159.65,144.53,177.44,149.98,174.92,158.79
51,23.28,162.91,35.89,178.59,171.24,146.51,177.92,149.64,176.33,163.83
52,5.39,135.28,20.13,175.81,167.68,141.07,177.93,143.88,178.89,167.79
53,143.67,148.76,150.61,175.99,170.13,133.87,179.35,134.56,178.14,171.12
54,55.33,165.62,35.08,174.53,172.65,129.75,176.26,130.9,174.59,176.21
55,125.54,82.42,114.63,174.37,173.87,121.26,176.94,123.62,174.2,177.39
56,131.2,178.91,130.74,175.62,173.46,123.63,176.57,126.87,176.28,175.46
57,136.66,179.71,137.99,175.82,172.62,128.03,175.98,132.76,179.15,172.33
